win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,0,rank
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
True,3,9,2499,445,42,48685,37377,37,10308,UTILITY,36.53333333333333,,bronze
False,2,9,2157,1122,29,28705,13771,23,7339,UTILITY,27.0,,bronze
True,19,13,24521,8951,22,297989,73154,144,20860,BOTTOM,46.4,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
True,21,8,39032,10816,14,216088,41244,131,19581,TOP,35.1,,bronze
,,,,,,,,,,,,,bronze
True,11,11,26212,5423,18,220176,47584,186,15598,TOP,40.78333333333333,,bronze
True,11,7,18320,8421,13,149101,35780,135,13624,TOP,32.4,,bronze
False,5,7,1745,1015,19,127625,34843,128,9474,TOP,30.55,,bronze
False,1,5,0,0,8,18885,8683,38,3343,TOP,16.05,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
True,6,7,17036,3438,10,134856,21105,142,11256,TOP,28.916666666666668,,bronze
False,1,4,1121,1121,6,38113,12734,76,4614,TOP,15.633333333333333,,bronze
False,8,11,13424,5911,11,208854,42349,202,13600,TOP,34.5,,bronze
False,15,19,54578,1006,16,285760,67608,48,18238,JUNGLE,39.916666666666664,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
False,7,10,2578,1984,13,91779,20283,109,10248,MIDDLE,28.566666666666666,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
False,5,13,662,662,19,40214,21841,22,10317,UTILITY,26.916666666666668,,bronze
False,3,14,2741,2252,46,45003,24158,23,10470,UTILITY,34.11666666666667,,bronze
True,2,2,5813,1215,10,17185,3291,3,4885,UTILITY,15.25,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
,,,,,,,,,,,,,bronze
True,1,13,7808,5339,13,140042,51082,176,10726,TOP,36.333333333333336,,bronze
False,2,10,2881,2778,15,114368,48646,182,9450,TOP,28.45,,bronze
False,3,10,2400,2400,19,94173,36599,133,8622,TOP,27.416666666666668,,bronze
