win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,0,rank
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
True,2,4,5525,4424,17,108468,24560,151,9405,TOP,26.133333333333333,,diamond
True,2,4,1338,1338,18,92485,18295,148,8345,TOP,22.133333333333333,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
False,10,8,0,0,7,76274,22936,111,10834,MIDDLE,22.616666666666667,,diamond
True,7,6,3509,3509,16,172844,34612,190,12373,TOP,30.066666666666666,,diamond
True,13,2,1830,1830,31,117582,20831,187,13827,MIDDLE,29.133333333333333,,diamond
True,16,4,2772,2772,14,110341,19055,155,12563,MIDDLE,24.466666666666665,,diamond
False,8,7,2361,2015,13,85945,26760,119,10400,MIDDLE,26.383333333333333,,diamond
False,6,9,366,366,10,88542,29907,135,8631,MIDDLE,23.45,,diamond
True,11,3,5972,4488,28,123398,23274,163,13412,TOP,26.116666666666667,,diamond
False,13,8,1007,219,18,135959,34438,162,13482,MIDDLE,32.13333333333333,,diamond
True,10,5,8850,520,17,154857,27954,206,13416,MIDDLE,30.85,,diamond
False,13,9,294,294,11,103211,28001,134,12381,MIDDLE,27.133333333333333,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
False,4,2,16146,0,20,133709,15254,40,8153,JUNGLE,23.616666666666667,,diamond
True,5,5,34958,2123,32,187986,28395,32,12451,JUNGLE,32.0,,diamond
False,1,2,18137,0,19,133774,18195,9,7163,JUNGLE,22.783333333333335,,diamond
,,,,,,,,,,,,,diamond
False,2,5,18078,93,13,162692,20583,10,10701,JUNGLE,36.6,,diamond
False,1,0,8682,0,7,89132,1561,6,5313,JUNGLE,15.216666666666667,,diamond
False,2,4,2347,73,12,136025,20015,15,9344,JUNGLE,29.983333333333334,,diamond
False,3,6,16566,840,19,184431,19514,27,10535,JUNGLE,32.5,,diamond
True,4,1,28756,2322,16,160915,13100,12,10838,JUNGLE,29.566666666666666,,diamond
True,3,0,24084,2495,24,166714,16421,17,11321,JUNGLE,27.516666666666666,,diamond
,,,,,,,,,,,,,diamond
False,3,5,236,236,4,52153,12873,124,6724,BOTTOM,18.983333333333334,,diamond
False,7,8,9082,1605,9,168234,26280,232,13654,BOTTOM,32.28333333333333,,diamond
True,12,2,15034,9514,9,150390,21049,210,15160,BOTTOM,28.533333333333335,,diamond
,,,,,,,,,,,,,diamond
True,2,0,8857,4074,14,96368,10785,173,9892,BOTTOM,23.866666666666667,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
True,21,10,12676,6146,9,208712,30099,215,20184,BOTTOM,31.216666666666665,,diamond
True,1,9,7189,1475,15,145783,22080,190,10976,BOTTOM,28.666666666666668,,diamond
False,2,6,987,987,11,47064,8421,92,5752,BOTTOM,15.216666666666667,,diamond
False,7,8,8778,1458,12,138183,19882,186,12157,BOTTOM,28.816666666666666,,diamond
True,19,8,15739,7685,12,176671,24227,185,15455,BOTTOM,25.433333333333334,,diamond
True,16,6,26635,7067,27,266975,35293,248,18314,BOTTOM,34.46666666666667,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
True,13,8,16104,8836,16,186580,21687,223,15068,BOTTOM,28.55,,diamond
True,10,8,13849,4954,21,192911,23113,212,16085,BOTTOM,31.016666666666666,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
False,7,4,8180,442,23,208314,13011,266,14416,MIDDLE,33.7,,diamond
False,2,2,1239,0,16,120266,15190,187,9111,MIDDLE,27.116666666666667,,diamond
False,1,2,3495,401,27,144081,4244,238,10671,MIDDLE,27.083333333333332,,diamond
True,9,3,5228,2860,23,158316,12825,212,13983,MIDDLE,33.266666666666666,,diamond
False,4,6,3753,2458,16,105563,15204,163,10488,BOTTOM,27.7,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
True,0,2,8043,2795,13,104157,4929,165,8885,BOTTOM,23.416666666666668,,diamond
True,5,8,7116,3815,29,171932,20079,213,13676,BOTTOM,37.35,,diamond
True,8,4,15325,3635,22,105892,9352,155,11898,BOTTOM,24.95,,diamond
False,4,6,4327,4327,16,145992,17039,240,12080,BOTTOM,26.666666666666668,,diamond
True,4,5,11784,3146,19,105670,12860,162,10148,BOTTOM,24.116666666666667,,diamond
False,6,4,858,237,13,82184,8821,172,10060,BOTTOM,24.283333333333335,,diamond
False,2,6,10461,2787,15,125835,15118,170,9714,BOTTOM,27.75,,diamond
True,8,3,26162,5206,37,197233,17091,199,14871,BOTTOM,32.06666666666667,,diamond
True,10,11,30628,5397,21,178006,22628,150,13959,BOTTOM,33.266666666666666,,diamond
True,7,6,27600,8075,20,179223,29348,197,14022,BOTTOM,31.616666666666667,,diamond
False,7,7,6594,4145,14,99300,15161,173,13067,BOTTOM,24.866666666666667,,diamond
False,3,6,2622,879,11,92765,12678,162,8814,BOTTOM,24.75,,diamond
True,0,0,0,0,1,101,0,0,500,BOTTOM,1.7166666666666666,,diamond
False,4,7,10788,0,20,214817,32819,35,11741,JUNGLE,30.183333333333334,,diamond
False,6,10,24226,2243,20,175917,33360,34,10325,JUNGLE,25.8,,diamond
True,9,1,16719,0,14,158151,20240,19,9256,JUNGLE,16.866666666666667,,diamond
False,9,4,28112,0,25,210306,31589,24,12817,JUNGLE,30.666666666666668,,diamond
False,1,4,13657,0,15,103041,16867,2,6277,JUNGLE,15.85,,diamond
True,11,6,35982,3270,22,215508,34967,26,12540,JUNGLE,24.766666666666666,,diamond
True,13,4,35269,2564,24,275698,32336,50,14341,JUNGLE,28.183333333333334,,diamond
False,8,8,28327,0,13,259118,40193,81,12330,JUNGLE,30.1,,diamond
False,1,6,31685,1398,9,218328,30777,35,9450,JUNGLE,25.666666666666668,,diamond
False,2,9,14069,443,16,144787,25952,45,7532,JUNGLE,22.15,,diamond
,,,,,,,,,,,,,diamond
True,1,6,50914,189,33,391107,39958,19,17378,JUNGLE,37.55,,diamond
True,6,5,26627,222,15,171064,22832,5,12093,JUNGLE,28.05,,diamond
True,8,3,58811,1342,17,361785,28218,36,14900,JUNGLE,30.433333333333334,,diamond
True,7,2,53711,1597,16,411817,25026,38,18463,JUNGLE,29.383333333333333,,diamond
True,3,4,44266,748,35,222940,42195,19,11627,JUNGLE,33.6,,diamond
True,8,7,38635,1217,15,194213,31384,27,12535,JUNGLE,28.566666666666666,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
False,10,7,5457,3808,17,196348,32517,234,14440,TOP,30.216666666666665,,diamond
True,4,7,9915,6341,15,159038,25388,210,12103,TOP,26.583333333333332,,diamond
False,3,9,2198,2198,17,104826,22013,176,9932,TOP,24.516666666666666,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
True,9,0,10662,5182,18,129791,19549,181,12808,TOP,22.133333333333333,,diamond
True,9,0,3683,2218,21,100036,8500,152,10829,TOP,17.55,,diamond
True,4,7,11924,5142,20,159426,33201,204,12486,TOP,30.95,,diamond
False,0,7,1066,783,9,53451,14955,107,5438,TOP,18.7,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
False,0,8,1838,406,78,33132,21691,45,8522,UTILITY,32.3,,diamond
True,3,3,1550,653,48,27886,17536,30,8302,UTILITY,24.716666666666665,,diamond
False,2,12,3155,452,107,35882,37290,45,11007,UTILITY,39.583333333333336,,diamond
True,1,4,24384,3442,16,95915,12933,131,8539,MIDDLE,23.983333333333334,,diamond
True,5,1,103,103,62,20808,10748,22,8191,UTILITY,21.75,,diamond
False,5,8,508,177,118,34286,41368,39,10789,UTILITY,40.85,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
True,5,6,22515,1375,45,215309,34323,56,12982,JUNGLE,29.383333333333333,,diamond
False,1,6,125,0,39,18372,15074,29,5290,UTILITY,20.383333333333333,,diamond
False,3,12,6083,0,13,95425,33872,127,9121,TOP,26.033333333333335,,diamond
False,0,6,6716,4575,8,103725,21171,152,7107,TOP,22.916666666666668,,diamond
False,5,4,2868,1904,27,125950,22802,191,10335,TOP,26.266666666666666,,diamond
False,9,8,9858,0,26,189252,33943,46,12984,JUNGLE,28.166666666666668,,diamond
False,2,6,1282,1282,11,104446,20392,176,8723,TOP,26.7,,diamond
True,6,2,2754,2542,6,69191,7174,131,8157,BOTTOM,15.5,,diamond
False,2,2,955,373,8,88060,8606,161,7252,BOTTOM,20.35,,diamond
False,7,5,31770,0,35,298090,45066,53,15057,JUNGLE,37.233333333333334,,diamond
False,4,7,9558,0,9,135058,25106,32,8232,JUNGLE,22.35,,diamond
False,7,10,28821,0,18,224296,66304,35,14019,JUNGLE,36.85,,diamond
True,15,7,44552,1416,12,298322,56987,46,18571,JUNGLE,35.4,,diamond
True,7,5,44811,0,13,201429,44987,31,11574,JUNGLE,27.5,,diamond
True,7,10,25954,547,20,216518,49190,35,14120,JUNGLE,31.983333333333334,,diamond
True,4,4,32160,2320,13,138432,23607,24,10094,JUNGLE,22.983333333333334,,diamond
False,5,5,24947,0,11,153425,34158,12,9118,JUNGLE,23.666666666666668,,diamond
True,8,6,32313,1429,16,169265,44669,34,11425,JUNGLE,27.616666666666667,,diamond
True,6,10,28457,1036,13,178330,41174,27,11858,JUNGLE,29.333333333333332,,diamond
True,1,5,17543,0,14,85281,19206,10,6911,JUNGLE,17.15,,diamond
False,3,7,1181,1181,11,50126,18192,91,7475,MIDDLE,22.066666666666666,,diamond
True,11,4,16177,5534,11,156177,17346,175,12848,MIDDLE,28.083333333333332,,diamond
False,6,5,567,567,17,82388,22559,149,9674,TOP,23.9,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
False,7,9,8766,300,10,147995,23901,201,11879,BOTTOM,28.833333333333332,,diamond
False,2,5,10534,3332,18,205736,17732,253,11832,MIDDLE,29.183333333333334,,diamond
True,14,4,33280,5899,20,186902,17413,210,15869,MIDDLE,28.233333333333334,,diamond
True,5,3,16779,6626,22,197313,14918,257,14066,BOTTOM,28.4,,diamond
False,4,4,10853,3302,23,171400,14140,246,12533,BOTTOM,28.083333333333332,,diamond
True,4,0,18088,12628,17,188466,11569,256,12529,BOTTOM,28.55,,diamond
True,3,4,9562,5467,18,144295,13774,190,10249,BOTTOM,24.783333333333335,,diamond
False,10,2,10404,3003,9,157439,12929,217,13398,BOTTOM,28.766666666666666,,diamond
False,0,0,0,0,0,2963,671,13,1167,MIDDLE,4.95,,diamond
False,5,3,19120,10242,16,181893,17585,248,13589,BOTTOM,31.216666666666665,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
,,,,,,,,,,,,,diamond
False,3,3,3838,0,8,40324,5780,118,7061,BOTTOM,19.183333333333334,,diamond
False,2,5,3039,2527,9,116956,13376,197,9415,BOTTOM,27.15,,diamond
