win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,0,rank
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
True,0,4,1002,802,64,24350,21870,39,7093,UTILITY,26.35,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
True,1,6,1566,0,59,30287,16634,28,7458,UTILITY,29.0,,emerald
True,0,0,0,0,0,438,0,0,500,UTILITY,1.7333333333333334,,emerald
False,0,8,609,0,36,20833,17305,30,5562,UTILITY,23.0,,emerald
True,3,8,10266,841,41,36395,16808,14,8738,UTILITY,25.35,,emerald
True,1,5,4762,953,57,30776,24766,43,8056,UTILITY,27.65,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
False,9,6,19665,1007,14,140206,20113,194,11862,BOTTOM,29.883333333333333,,emerald
True,17,4,14495,11008,19,233954,22146,257,17871,BOTTOM,31.25,,emerald
True,11,7,11599,2236,5,146864,18751,186,13396,BOTTOM,31.733333333333334,,emerald
False,0,0,113,113,0,6300,400,27,1322,BOTTOM,4.383333333333334,,emerald
False,5,12,17916,2161,32,215152,49332,244,14898,TOP,41.7,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
True,7,3,15673,6077,81,89125,19618,29,12967,UTILITY,33.93333333333333,,emerald
True,5,6,8261,2923,49,50718,21411,11,11370,UTILITY,31.366666666666667,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
True,2,1,7441,4830,50,45133,9650,25,9149,UTILITY,26.4,,emerald
True,0,5,13894,2484,62,49162,12421,18,8785,UTILITY,28.65,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
True,19,5,46361,5199,32,271996,23474,238,19126,BOTTOM,30.95,,emerald
False,17,13,14945,3694,51,221364,33786,221,19037,BOTTOM,37.85,,emerald
False,2,5,4954,218,15,56802,11791,117,6776,BOTTOM,20.916666666666668,,emerald
False,3,2,2524,640,10,76377,7922,167,8486,BOTTOM,19.9,,emerald
True,3,1,5251,1269,12,70916,6412,144,6986,BOTTOM,17.2,,emerald
,,,,,,,,,,,,,emerald
True,8,7,12406,4105,32,186703,20901,189,15102,BOTTOM,35.78333333333333,,emerald
True,0,0,0,0,0,147,4,0,510,BOTTOM,1.9,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
False,2,5,1091,325,53,23899,29676,24,7718,UTILITY,30.166666666666668,,emerald
,,,,,,,,,,,,,emerald
False,11,9,25141,0,27,152845,49272,26,13218,JUNGLE,31.683333333333334,,emerald
False,3,5,344,0,43,44977,22686,29,8318,UTILITY,28.766666666666666,,emerald
True,1,2,1643,0,41,19372,9020,28,6220,UTILITY,20.05,,emerald
False,6,6,2154,0,11,73594,16552,141,10127,TOP,25.416666666666668,,emerald
True,7,3,5037,3481,21,169740,44997,211,14378,TOP,30.316666666666666,,emerald
False,1,7,2301,0,28,17451,18623,24,6010,UTILITY,24.15,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
False,2,8,3320,3320,9,50557,12360,116,6275,TOP,19.216666666666665,,emerald
True,3,2,14134,6973,14,119959,9359,174,11176,MIDDLE,24.566666666666666,,emerald
False,10,7,20448,7542,15,261770,46669,245,16689,TOP,32.63333333333333,,emerald
True,10,3,7669,7669,15,140249,28464,188,11972,TOP,24.283333333333335,,emerald
True,14,3,18817,9223,18,154331,43231,178,16645,TOP,31.683333333333334,,emerald
True,5,3,19577,9963,8,125305,20489,159,10431,TOP,21.25,,emerald
True,6,4,5599,4827,10,91313,12922,146,10830,TOP,23.716666666666665,,emerald
False,3,13,3579,1295,13,83135,22496,138,8373,MIDDLE,24.8,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
False,9,11,12453,4267,6,142547,30140,149,14315,BOTTOM,30.716666666666665,,emerald
True,11,3,7641,2794,6,67121,9695,101,10670,BOTTOM,15.533333333333333,,emerald
True,16,10,19423,7718,4,161698,20540,170,17121,BOTTOM,26.733333333333334,,emerald
False,9,12,5728,287,7,104222,28771,132,12162,BOTTOM,24.75,,emerald
True,10,6,28335,8009,20,146773,23207,150,15245,BOTTOM,27.383333333333333,,emerald
False,5,7,13986,5534,15,166869,19825,223,14397,BOTTOM,29.25,,emerald
True,7,6,12349,3107,12,114994,14137,159,11798,BOTTOM,22.533333333333335,,emerald
True,17,17,46387,5017,23,292429,53243,223,23153,BOTTOM,44.0,,emerald
False,1,7,4925,2784,21,66160,11460,108,6784,BOTTOM,19.616666666666667,,emerald
False,9,14,11254,4782,16,187166,29050,192,16415,BOTTOM,32.46666666666667,,emerald
True,1,7,6009,3083,18,76773,17351,140,8502,BOTTOM,25.5,,emerald
True,2,2,3949,2699,16,71323,7340,139,7398,BOTTOM,18.4,,emerald
False,10,6,16383,4555,30,177115,27030,218,15238,BOTTOM,34.55,,emerald
True,4,4,6641,5247,16,98621,11047,154,9326,BOTTOM,25.5,,emerald
False,8,6,10549,1438,19,152843,26733,191,12689,BOTTOM,30.083333333333332,,emerald
True,3,1,2776,2776,6,58096,4364,124,6874,BOTTOM,15.533333333333333,,emerald
,,,,,,,,,,,,,emerald
True,6,8,25721,2094,21,216697,37945,215,15464,BOTTOM,40.38333333333333,,emerald
False,11,14,15773,9900,26,173894,39047,176,14258,BOTTOM,37.18333333333333,,emerald
True,18,10,29723,8783,20,228740,35402,231,18441,BOTTOM,36.166666666666664,,emerald
True,3,6,0,0,43,14407,18446,26,7028,UTILITY,23.45,,emerald
True,2,9,1703,0,94,25783,39928,40,9080,UTILITY,37.8,,emerald
False,1,8,1060,188,77,42290,34582,44,9239,UTILITY,33.5,,emerald
False,1,9,0,0,43,20601,22731,32,6048,UTILITY,25.4,,emerald
False,1,5,49,0,21,12076,10984,21,4048,UTILITY,17.233333333333334,,emerald
True,0,2,2222,139,23,17212,8661,26,5357,UTILITY,16.483333333333334,,emerald
False,1,6,170,0,39,18163,21996,31,6116,UTILITY,24.483333333333334,,emerald
True,2,7,534,268,63,23314,31186,32,8479,UTILITY,29.8,,emerald
False,3,7,0,0,26,18157,22308,25,5813,UTILITY,22.216666666666665,,emerald
True,0,1,2022,66,31,14647,9670,23,4901,UTILITY,17.966666666666665,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
True,1,9,42,42,45,41697,20479,54,8417,UTILITY,28.366666666666667,,emerald
False,3,9,9164,2647,6,110918,29494,164,8887,TOP,22.65,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
False,9,7,7384,2032,31,164710,39961,208,13235,TOP,32.733333333333334,,emerald
True,10,2,5500,1419,11,125929,25757,173,11996,TOP,23.983333333333334,,emerald
True,6,2,9121,9121,24,109892,14266,145,11351,TOP,22.5,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
,,,,,,,,,,,,,emerald
True,16,2,10136,4800,29,198703,31456,211,16133,MIDDLE,30.383333333333333,,emerald
True,11,3,17284,3187,13,158851,25791,199,12888,MIDDLE,29.7,,emerald
False,13,6,8406,6944,24,223696,47387,252,18090,MIDDLE,38.55,,emerald
