win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,0,rank
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
False,7,3,4343,2751,26,99811,20030,156,11780,TOP,31.0,,gold
False,3,9,5264,577,12,95842,31548,134,8791,TOP,30.716666666666665,,gold
True,6,2,6425,3065,19,70380,19583,109,8763,TOP,23.866666666666667,,gold
False,4,6,2684,1489,26,120743,20301,183,9782,TOP,28.183333333333334,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
True,3,6,7781,841,80,24135,26348,36,9172,UTILITY,31.883333333333333,,gold
False,7,5,17664,0,27,251544,27432,46,13011,JUNGLE,31.166666666666668,,gold
False,4,8,854,854,11,85214,18948,161,9927,BOTTOM,23.7,,gold
True,3,6,16575,193,33,272973,56730,27,14034,JUNGLE,37.666666666666664,,gold
True,7,6,8454,997,74,103205,19836,57,12782,UTILITY,36.63333333333333,,gold
True,0,2,3010,410,42,27424,11490,30,7820,UTILITY,23.466666666666665,,gold
False,8,12,27251,3808,31,263047,28423,253,18125,BOTTOM,37.36666666666667,,gold
False,6,6,4306,3465,22,221239,22773,282,14588,BOTTOM,34.333333333333336,,gold
False,2,3,2675,0,21,146181,17818,45,8236,JUNGLE,23.45,,gold
True,0,0,0,0,0,272,127,0,500,UTILITY,1.8166666666666667,,gold
False,3,7,11465,8016,13,160533,28763,195,11399,TOP,28.216666666666665,,gold
,,,,,,,,,,,,,gold
True,0,2,0,0,9,8493,4588,13,5498,UTILITY,27.716666666666665,,gold
False,3,3,1371,195,48,28350,22968,22,8163,UTILITY,27.3,,gold
True,2,3,6343,2253,69,33477,15788,32,8823,UTILITY,28.866666666666667,,gold
False,2,8,5861,621,44,29738,15950,32,6603,UTILITY,23.45,,gold
True,2,4,3189,1029,84,29649,25420,28,10224,UTILITY,35.85,,gold
True,1,5,2195,208,68,30355,24871,30,7755,UTILITY,30.616666666666667,,gold
True,1,0,3070,275,55,25837,17817,30,7929,UTILITY,26.983333333333334,,gold
False,2,7,994,886,63,22993,18084,35,6714,UTILITY,25.166666666666668,,gold
True,0,0,0,0,1,383,0,0,500,UTILITY,1.75,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
False,0,2,717,322,46,8979,11726,10,5158,UTILITY,23.25,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
,,,,,,,,,,,,,gold
False,5,11,1125,0,16,140901,31092,141,11409,MIDDLE,29.716666666666665,,gold
False,3,10,4747,4747,14,99964,18413,141,10076,MIDDLE,26.733333333333334,,gold
False,8,13,14714,3980,19,209625,29573,204,13475,MIDDLE,33.1,,gold
False,2,9,3703,1233,16,69973,18055,120,8304,MIDDLE,26.25,,gold
False,4,6,665,0,13,105063,13246,168,8667,MIDDLE,24.066666666666666,,gold
True,6,7,6970,3253,19,140597,24518,177,12836,MIDDLE,33.03333333333333,,gold
False,4,5,265,265,10,64568,14768,123,6860,MIDDLE,19.716666666666665,,gold
False,1,9,3805,0,11,69284,17092,118,6427,MIDDLE,22.833333333333332,,gold
False,6,6,762,683,14,99773,20394,160,10620,MIDDLE,26.066666666666666,,gold
True,9,0,3517,3517,13,98501,8025,159,10708,MIDDLE,21.733333333333334,,gold
False,4,13,864,408,10,79014,26811,124,8463,TOP,30.0,,gold
True,8,12,14206,9305,30,283755,57172,211,16945,TOP,38.733333333333334,,gold
True,10,9,11183,7494,28,234554,27583,262,17010,TOP,33.86666666666667,,gold
