win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,0,rank
True,3,2,6298,6298,10,148123,24127,197,11108,MIDDLE,29.15,,iron
False,7,5,3222,424,15,116804,24526,144,12407,MIDDLE,29.916666666666668,,iron
,,,,,,,,,,,,,iron
True,16,1,12446,2012,13,110153,12996,145,13989,MIDDLE,28.433333333333334,,iron
,,,,,,,,,,,,,iron
True,13,2,10605,4966,9,148142,26504,192,14154,MIDDLE,26.516666666666666,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
True,1,2,1430,1075,25,14254,10728,19,7288,UTILITY,25.1,,iron
False,3,4,979,0,6,13054,11935,10,4745,UTILITY,19.05,,iron
False,4,4,7325,2230,14,16828,15152,14,7417,UTILITY,27.916666666666668,,iron
True,0,9,1285,623,31,17007,21547,17,6979,UTILITY,30.966666666666665,,iron
True,2,5,4251,1984,15,19869,13035,18,6692,UTILITY,25.0,,iron
False,0,10,217,217,24,26752,20489,34,6506,UTILITY,27.733333333333334,,iron
False,2,2,0,0,6,3617,4771,3,2641,UTILITY,12.55,,iron
False,8,11,24661,2421,15,213803,36098,54,13404,JUNGLE,30.466666666666665,,iron
True,2,3,44084,248,19,138388,28328,6,8553,JUNGLE,25.1,,iron
False,2,8,675,151,20,32580,17994,24,6641,UTILITY,29.466666666666665,,iron
True,7,3,5941,3742,33,101014,30814,130,12035,MIDDLE,37.36666666666667,,iron
True,1,2,10214,1525,14,62075,14039,89,6084,MIDDLE,20.366666666666667,,iron
False,5,7,3165,693,26,71575,26703,93,10318,MIDDLE,29.55,,iron
False,6,10,529,0,12,77630,20863,95,9120,MIDDLE,27.783333333333335,,iron
False,5,4,935,0,17,77601,21426,108,8412,MIDDLE,25.616666666666667,,iron
False,0,8,16101,0,33,89288,29971,23,6936,JUNGLE,27.783333333333335,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
True,2,4,22121,206,21,103413,18856,20,7725,JUNGLE,21.233333333333334,,iron
True,9,8,10367,1155,41,101781,30606,121,12383,MIDDLE,33.8,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
True,0,0,0,0,0,1426,518,0,503,JUNGLE,1.85,,iron
True,11,10,56441,5390,22,182479,37589,43,14225,JUNGLE,30.05,,iron
False,5,11,30803,877,31,162484,42933,24,11198,JUNGLE,35.03333333333333,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
True,23,8,40797,9006,23,177080,26678,128,19426,BOTTOM,35.666666666666664,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
True,5,4,5417,442,24,34930,14828,21,7970,UTILITY,22.633333333333333,,iron
False,5,4,1985,122,15,95632,16358,129,9927,BOTTOM,30.6,,iron
False,5,4,24,24,17,54949,11391,106,7587,BOTTOM,19.9,,iron
False,1,2,2699,2699,6,57320,5718,114,5859,BOTTOM,19.566666666666666,,iron
False,1,1,0,0,1,5009,1405,14,1498,BOTTOM,4.55,,iron
False,4,8,0,0,16,75575,19593,111,8635,BOTTOM,28.816666666666666,,iron
,,,,,,,,,,,,,iron
False,2,5,12669,2032,13,83757,14156,100,6690,UTILITY,25.333333333333332,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
,,,,,,,,,,,,,iron
