win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,0,rank
False,0,7,0,0,6,32283,13594,77,4518,TOP,18.733333333333334,,platinum
True,0,2,248,248,10,72619,10474,146,7096,TOP,23.133333333333333,,platinum
True,12,2,9618,8811,15,149486,20487,207,12747,TOP,25.133333333333333,,platinum
True,4,7,2888,2888,14,170506,30163,229,11596,TOP,30.483333333333334,,platinum
True,6,7,3479,3479,23,110854,27933,154,11076,TOP,27.616666666666667,,platinum
True,9,3,21815,8012,14,224679,24798,231,16347,TOP,28.966666666666665,,platinum
True,17,6,13946,4448,26,141100,27334,135,16235,MIDDLE,33.96666666666667,,platinum
False,3,6,2695,0,55,30089,18128,34,7961,UTILITY,28.716666666666665,,platinum
False,3,6,2196,0,59,24707,24096,33,7878,UTILITY,30.616666666666667,,platinum
True,10,3,8884,3386,51,57117,12841,19,10092,UTILITY,28.65,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
True,12,4,7622,2787,17,134255,33897,152,14153,TOP,31.5,,platinum
False,0,9,1490,1252,23,140556,26893,168,8337,TOP,30.166666666666668,,platinum
False,0,4,77,77,10,33484,8178,84,5333,BOTTOM,20.033333333333335,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
False,3,7,1651,1541,19,62549,14055,108,8105,MIDDLE,28.4,,platinum
False,1,9,1276,898,71,32768,16938,17,7232,UTILITY,26.683333333333334,,platinum
,,,,,,,,,,,,,platinum
True,3,7,30526,701,21,198375,21863,205,11744,MIDDLE,32.43333333333333,,platinum
True,0,3,15614,3070,12,131568,12823,165,9821,MIDDLE,29.316666666666666,,platinum
False,7,7,5824,553,10,150706,24888,180,12048,MIDDLE,31.116666666666667,,platinum
True,6,9,1140,1140,14,102372,22229,131,10408,MIDDLE,28.416666666666668,,platinum
True,18,11,16603,3122,18,288747,37990,226,18921,MIDDLE,45.53333333333333,,platinum
True,8,3,15587,3394,22,144204,16497,166,13502,MIDDLE,29.2,,platinum
True,2,2,2277,306,6,40592,4871,96,5302,MIDDLE,13.416666666666666,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
False,13,10,18409,2680,9,161436,28590,182,15374,MIDDLE,36.516666666666666,,platinum
True,12,4,45382,3800,26,395386,31448,76,18648,JUNGLE,32.15,,platinum
True,0,0,0,0,0,1604,209,0,590,JUNGLE,1.7666666666666666,,platinum
True,15,6,55344,0,26,385208,40295,64,18946,JUNGLE,34.03333333333333,,platinum
True,4,3,25854,0,14,204589,20536,33,10328,JUNGLE,22.5,,platinum
False,8,7,49521,1319,15,389941,37046,94,16534,JUNGLE,35.81666666666667,,platinum
True,11,4,12381,657,14,231924,23466,34,14075,JUNGLE,25.8,,platinum
True,21,2,38312,3367,7,233768,23225,47,15236,JUNGLE,20.383333333333333,,platinum
True,11,2,52584,2135,15,392991,32083,55,17401,JUNGLE,31.183333333333334,,platinum
True,13,1,61591,1900,17,283882,21177,32,15564,JUNGLE,26.583333333333332,,platinum
True,12,4,37695,4808,21,266413,27063,58,16181,JUNGLE,28.15,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
False,1,3,1626,1626,4,58176,9827,105,4861,TOP,15.566666666666666,,platinum
True,10,4,11779,2836,26,174777,32237,227,15052,TOP,30.833333333333332,,platinum
False,3,7,2074,1363,36,179608,53222,204,12468,TOP,37.666666666666664,,platinum
False,12,5,30612,8685,40,266803,43657,282,18531,TOP,39.06666666666667,,platinum
False,1,11,1664,1664,20,68245,20727,136,6902,TOP,22.2,,platinum
True,1,4,27603,10976,20,203019,16892,230,11856,TOP,30.35,,platinum
False,8,6,10551,4241,16,191937,28600,287,15892,TOP,30.55,,platinum
True,6,1,26597,8633,22,161045,15308,232,13913,TOP,25.6,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
True,5,3,15567,6883,29,213617,16002,236,14935,BOTTOM,32.65,,platinum
True,9,0,14099,6471,25,106967,7456,145,11272,BOTTOM,22.383333333333333,,platinum
True,6,5,10099,5395,34,240496,23850,270,17320,BOTTOM,36.36666666666667,,platinum
True,9,7,8501,4321,31,246651,29330,251,16358,BOTTOM,34.53333333333333,,platinum
False,10,11,5252,328,35,161808,22975,212,14938,BOTTOM,33.083333333333336,,platinum
False,3,5,1765,1765,21,112314,12019,140,7949,BOTTOM,24.05,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
False,2,10,7347,4626,10,106103,26843,111,8501,TOP,21.266666666666666,,platinum
False,2,4,3587,717,22,110926,25789,180,9630,TOP,26.133333333333333,,platinum
False,0,6,875,0,10,45355,16976,94,5000,TOP,20.183333333333334,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
False,9,7,6759,1282,6,125208,25760,183,13141,MIDDLE,28.133333333333333,,platinum
True,10,1,12052,3739,5,177857,20835,241,15483,MIDDLE,30.916666666666668,,platinum
False,2,5,6207,2632,20,113652,40023,171,10034,TOP,30.9,,platinum
,,,,,,,,,,,,,platinum
True,5,3,4866,1381,10,185698,24672,252,14279,MIDDLE,35.53333333333333,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
True,5,6,39914,933,59,213401,29594,15,11139,JUNGLE,28.933333333333334,,platinum
,,,,,,,,,,,,,platinum
True,2,1,39480,1635,22,183935,28413,15,10619,JUNGLE,25.45,,platinum
True,7,8,62649,3510,21,318931,56586,59,17459,JUNGLE,39.56666666666667,,platinum
False,2,5,28080,130,11,144995,22029,17,8418,JUNGLE,23.35,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
True,12,3,12831,4676,13,122402,19168,145,12729,MIDDLE,25.066666666666666,,platinum
False,11,9,42106,0,23,231645,53664,34,15558,JUNGLE,37.233333333333334,,platinum
False,7,8,19583,698,14,150467,35119,8,11524,JUNGLE,26.866666666666667,,platinum
False,8,9,34549,1383,16,147963,35846,26,12848,JUNGLE,27.9,,platinum
False,10,5,36373,3127,11,199092,29943,32,13979,JUNGLE,29.783333333333335,,platinum
True,7,3,13702,2429,25,124017,13784,179,10684,MIDDLE,23.566666666666666,,platinum
False,4,8,19785,9541,33,220177,37311,253,14850,TOP,35.96666666666667,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
True,13,3,31903,8313,26,178943,20407,208,15569,TOP,27.95,,platinum
True,10,6,34339,3543,60,447721,55176,374,20471,TOP,46.766666666666666,,platinum
True,15,2,34325,9213,40,259898,26745,209,16655,TOP,29.15,,platinum
False,1,7,6576,2014,34,167857,25974,212,12072,TOP,31.25,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
False,7,13,735,735,17,148637,42246,206,13531,MIDDLE,32.583333333333336,,platinum
False,17,6,3586,3295,20,150846,42938,164,15215,MIDDLE,32.13333333333333,,platinum
False,19,8,5051,2057,19,159738,39322,199,16112,MIDDLE,28.733333333333334,,platinum
True,18,1,47998,10605,17,258083,24074,240,19666,MIDDLE,29.816666666666666,,platinum
True,6,3,26761,7018,15,160966,22451,214,12753,MIDDLE,27.3,,platinum
True,12,4,24863,5973,19,207577,32113,243,16878,MIDDLE,29.616666666666667,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
False,5,3,7993,1581,11,131151,12347,219,11520,BOTTOM,27.25,,platinum
True,3,2,4967,2482,14,68145,6773,124,7325,BOTTOM,16.566666666666666,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
True,19,7,30371,2496,21,224905,25066,196,18281,BOTTOM,31.25,,platinum
True,5,1,860,860,7,45014,3661,114,5985,BOTTOM,12.8,,platinum
,,,,,,,,,,,,,platinum
False,9,7,5479,0,17,140070,18630,190,12922,BOTTOM,28.333333333333332,,platinum
False,0,0,0,0,0,286,0,0,500,BOTTOM,1.75,,platinum
True,5,2,2410,2410,5,80956,9191,125,7157,BOTTOM,19.283333333333335,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
False,5,4,15570,3461,11,113176,16811,166,8548,TOP,20.866666666666667,,platinum
True,10,8,15338,3386,13,241439,32304,251,17293,TOP,38.3,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
,,,,,,,,,,,,,platinum
False,7,5,1165,826,11,129279,22495,177,11042,MIDDLE,28.2,,platinum
True,12,5,19387,8114,18,176058,18788,209,15686,MIDDLE,28.816666666666666,,platinum
True,12,5,3041,1014,48,79736,22713,68,12750,UTILITY,29.233333333333334,,platinum
True,5,5,3529,1285,15,106247,15498,188,10629,MIDDLE,23.8,,platinum
True,13,8,6178,6107,17,156605,23777,197,15819,MIDDLE,28.366666666666667,,platinum
False,5,6,1976,926,15,99064,16836,157,9778,MIDDLE,24.116666666666667,,platinum
False,4,6,485,485,7,59746,8784,84,6015,BOTTOM,15.283333333333333,,platinum
True,8,6,12168,1247,19,234651,35458,251,16311,MIDDLE,38.666666666666664,,platinum
True,14,0,8537,2258,5,118607,13130,161,10471,MIDDLE,19.416666666666668,,platinum
False,1,7,98,98,11,65750,15125,157,7371,BOTTOM,22.366666666666667,,platinum
False,2,9,841,0,85,40260,28603,24,9501,UTILITY,37.11666666666667,,platinum
False,1,9,0,0,56,16935,24152,29,7415,UTILITY,30.083333333333332,,platinum
False,1,5,3081,0,25,20674,9774,22,4969,UTILITY,19.85,,platinum
True,1,2,2504,311,70,14759,10284,25,7237,UTILITY,25.716666666666665,,platinum
True,1,3,189,67,64,23719,14876,32,6575,UTILITY,27.9,,platinum
False,2,10,0,0,64,16601,21817,29,7054,UTILITY,27.583333333333332,,platinum
True,5,4,7208,0,52,42334,12762,23,9992,UTILITY,31.5,,platinum
