win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,0,rank
False,7,7,16964,6204,23,161007,35471,186,13932,TOP,33.166666666666664,,silver
False,3,12,6679,4143,24,148526,41672,200,11711,TOP,35.583333333333336,,silver
True,6,10,44117,14987,21,241865,42148,215,16475,TOP,35.833333333333336,,silver
False,3,6,21470,6363,20,216955,29227,215,14230,TOP,34.483333333333334,,silver
True,0,4,13421,12139,10,158299,18404,195,10642,TOP,27.883333333333333,,silver
False,5,6,9343,6748,18,114353,20994,143,9420,TOP,26.883333333333333,,silver
True,5,4,17546,11034,18,224909,23656,261,15645,TOP,31.083333333333332,,silver
True,2,1,5400,4036,6,55660,7680,113,6509,TOP,15.5,,silver
False,2,7,11442,6029,18,135523,27250,181,11051,TOP,27.6,,silver
False,4,7,21573,11375,29,190493,32984,191,13982,TOP,37.53333333333333,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,2,13,7149,1828,11,92421,28982,130,8440,MIDDLE,28.1,,silver
True,8,2,7357,3841,17,156500,13927,178,11165,MIDDLE,21.966666666666665,,silver
True,4,6,24360,216,21,185282,28996,37,10399,JUNGLE,28.166666666666668,,silver
False,6,8,7237,2958,23,155210,21006,186,13108,MIDDLE,31.95,,silver
False,0,0,0,0,0,0,0,0,500,MIDDLE,1.75,,silver
True,12,0,13004,6861,18,195198,14344,165,13006,MIDDLE,23.15,,silver
True,15,14,36737,1089,14,308437,63418,59,19658,JUNGLE,45.016666666666666,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,5,7,16295,1324,10,151640,23807,48,11695,JUNGLE,29.55,,silver
True,12,5,13082,789,16,178720,25400,42,15178,JUNGLE,31.916666666666668,,silver
False,8,6,32899,364,19,246740,40995,26,14482,JUNGLE,39.166666666666664,,silver
False,0,3,131,0,18,6702,6561,7,4443,UTILITY,23.05,,silver
False,2,10,322,322,29,37388,14681,40,5555,UTILITY,22.983333333333334,,silver
False,3,7,19254,0,11,147908,26058,12,9678,JUNGLE,28.4,,silver
False,7,10,12318,438,10,135674,28704,25,11756,JUNGLE,29.116666666666667,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,6,1,23937,7167,28,107068,11127,155,10721,BOTTOM,26.1,,silver
False,1,6,293,293,12,41314,10347,95,5091,BOTTOM,17.8,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,16,6,4660,3955,6,202693,19632,212,15987,MIDDLE,27.866666666666667,,silver
True,15,5,18795,7265,9,227330,19717,192,15981,MIDDLE,29.133333333333333,,silver
True,17,6,25274,3878,17,333831,31322,246,20309,MIDDLE,36.55,,silver
True,15,2,20315,9606,12,233622,19402,207,15211,MIDDLE,26.666666666666668,,silver
False,4,5,715,0,10,113900,20462,157,8349,MIDDLE,22.316666666666666,,silver
True,15,8,26875,5972,28,331196,33408,235,21671,MIDDLE,44.93333333333333,,silver
False,4,10,14723,5885,21,262897,33606,226,13973,BOTTOM,35.166666666666664,,silver
False,8,7,11251,2197,23,239808,51410,258,16136,TOP,39.56666666666667,,silver
True,6,12,25251,660,28,438526,39939,87,19290,JUNGLE,44.15,,silver
True,8,10,13196,764,17,173495,30825,197,13666,BOTTOM,30.916666666666668,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,2,8,681,681,14,81045,22086,122,7613,TOP,24.633333333333333,,silver
True,6,11,4134,4134,17,121438,37131,107,10062,TOP,29.033333333333335,,silver
True,1,2,441,441,7,46581,7973,106,4945,TOP,16.233333333333334,,silver
False,3,11,7039,7039,18,257765,39545,242,14638,TOP,36.333333333333336,,silver
True,12,14,9994,183,67,125876,41804,55,14989,UTILITY,41.55,,silver
True,0,0,0,0,0,625,222,2,576,TOP,2.1,,silver
True,12,3,20954,3856,20,221286,47922,209,16578,TOP,34.35,,silver
False,4,7,17494,0,28,124905,27015,36,9991,JUNGLE,30.433333333333334,,silver
True,6,3,40646,2859,29,174004,21279,15,11338,JUNGLE,22.933333333333334,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,16,14,17916,9627,17,210942,42373,188,18025,BOTTOM,38.81666666666667,,silver
False,6,7,3664,3135,15,120154,34384,140,9691,TOP,27.233333333333334,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,7,9,9173,5446,19,129366,23413,164,12082,BOTTOM,30.266666666666666,,silver
,,,,,,,,,,,,,silver
False,5,6,15922,0,15,128438,21217,27,8338,JUNGLE,23.233333333333334,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,2,3,5314,2551,18,100053,10739,168,8817,MIDDLE,24.05,,silver
False,8,4,968,405,25,160015,14721,232,14202,MIDDLE,29.783333333333335,,silver
False,7,5,20520,971,31,159556,21415,209,13527,MIDDLE,35.56666666666667,,silver
False,3,9,13367,1839,23,119879,22826,192,12241,MIDDLE,30.783333333333335,,silver
True,5,0,8784,3048,16,137952,7957,220,11095,MIDDLE,27.0,,silver
False,4,5,1437,0,22,118047,17170,179,10687,BOTTOM,29.333333333333332,,silver
True,3,3,10053,3856,36,140930,18630,187,12327,BOTTOM,34.86666666666667,,silver
False,1,2,0,0,5,58526,6034,123,4988,MIDDLE,15.9,,silver
False,0,3,0,0,15,47455,5878,113,4510,MIDDLE,15.3,,silver
True,5,2,15927,3528,22,119412,7137,168,11168,MIDDLE,26.033333333333335,,silver
True,16,3,41006,1732,15,218024,31942,41,16266,JUNGLE,29.383333333333333,,silver
True,3,4,14313,10113,18,201044,16128,259,13023,TOP,28.1,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,4,4,44519,1040,8,255570,31304,23,11403,JUNGLE,27.133333333333333,,silver
True,1,8,1531,1002,82,43768,36584,24,11987,UTILITY,47.15,,silver
True,7,7,16032,5350,24,187078,24449,207,15801,BOTTOM,34.25,,silver
True,4,9,2812,0,43,53293,33375,44,10175,UTILITY,35.96666666666667,,silver
True,16,3,6902,2639,36,109807,14330,75,14015,UTILITY,28.166666666666668,,silver
False,1,8,862,862,13,85218,14967,157,7905,BOTTOM,25.65,,silver
False,4,14,716,716,32,54626,25643,39,8884,UTILITY,28.766666666666666,,silver
False,4,12,6415,534,60,98573,38722,39,13320,UTILITY,47.45,,silver
True,2,8,3048,837,32,29082,21753,37,9510,UTILITY,28.7,,silver
False,10,7,11731,3254,9,196636,36249,226,14072,TOP,32.56666666666667,,silver
False,0,0,0,0,0,0,0,0,563,Invalid,2.3333333333333335,,silver
False,4,14,2769,2769,15,277027,55660,240,15977,TOP,39.43333333333333,,silver
True,6,1,13787,8849,22,148894,13168,169,11369,TOP,26.966666666666665,,silver
False,7,10,17800,1669,17,183983,33483,196,13118,TOP,33.983333333333334,,silver
True,5,4,10371,3304,17,133369,20756,149,10713,TOP,26.05,,silver
False,6,7,22870,10841,16,305747,36615,292,16062,TOP,38.35,,silver
False,1,4,1401,1401,11,85886,19974,141,8107,TOP,26.666666666666668,,silver
True,12,3,21988,6137,12,162621,26472,138,14183,TOP,28.05,,silver
True,4,0,10915,5704,17,98852,12982,154,9250,MIDDLE,23.15,,silver
True,12,5,18773,5441,18,209851,36779,209,16360,TOP,37.1,,silver
False,5,8,14031,3034,12,172332,20768,200,11647,BOTTOM,34.016666666666666,,silver
True,2,1,1854,1416,12,54619,4731,130,6296,BOTTOM,15.7,,silver
,,,,,,,,,,,,,silver
False,1,2,62,62,3,37436,7650,94,4568,BOTTOM,15.5,,silver
False,0,2,963,508,8,69754,8641,154,6577,BOTTOM,20.416666666666668,,silver
True,3,4,4474,2416,17,199036,25841,212,12361,MIDDLE,29.95,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,2,6,451,298,42,19153,17645,30,7368,UTILITY,26.583333333333332,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,4,4,1501,1501,11,80537,16567,131,7631,TOP,19.533333333333335,,silver
False,3,7,6000,5887,16,116600,17797,170,10868,TOP,32.03333333333333,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,2,6,0,0,7,72994,23279,122,6272,TOP,19.683333333333334,,silver
False,4,8,581,0,16,124650,26956,168,10817,TOP,32.11666666666667,,silver
True,5,9,5140,893,59,86598,36988,74,11200,UTILITY,37.28333333333333,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,11,5,15778,4237,27,148575,24614,185,14770,MIDDLE,34.55,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,9,8,3472,1805,19,177469,47314,168,14880,TOP,37.36666666666667,,silver
True,4,2,5350,3005,18,132593,36994,178,12111,TOP,34.18333333333333,,silver
True,8,5,6453,2521,10,148974,43513,133,14698,TOP,37.36666666666667,,silver
True,7,5,6069,2092,16,147142,28897,168,12374,TOP,32.0,,silver
False,4,9,3309,3309,9,78390,26585,134,8781,TOP,22.833333333333332,,silver
False,2,3,1522,1522,14,140931,32667,184,9817,TOP,29.683333333333334,,silver
True,1,2,12958,8654,16,100336,13158,133,8801,TOP,24.966666666666665,,silver
False,4,5,1641,1087,12,117299,36900,137,11688,TOP,36.483333333333334,,silver
True,18,5,23612,3065,24,183084,63619,171,19454,TOP,44.733333333333334,,silver
False,5,2,459,459,9,60214,13739,98,6288,TOP,19.25,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,9,7,19207,8618,26,273328,47304,257,18773,TOP,39.483333333333334,,silver
True,4,10,3169,2777,23,150044,78634,152,12874,TOP,41.78333333333333,,silver
False,3,1,95,95,11,58053,8811,118,6233,TOP,16.383333333333333,,silver
True,16,6,5789,5632,21,266188,41189,239,20669,TOP,37.61666666666667,,silver
True,7,5,13789,12384,19,206352,40530,221,15401,TOP,34.2,,silver
True,4,1,18789,1924,12,99051,14236,140,8681,TOP,20.516666666666666,,silver
True,9,7,10361,6472,17,261714,43563,286,18061,TOP,38.06666666666667,,silver
False,10,12,10190,2327,31,281227,80272,266,17586,TOP,45.03333333333333,,silver
False,0,2,2241,2241,9,48646,20840,117,6654,TOP,23.85,,silver
True,5,0,32475,8961,16,196263,20426,213,13491,TOP,27.383333333333333,,silver
,,,,,,,,,,,,,silver
False,1,6,4152,4152,5,102630,18137,131,7699,MIDDLE,24.133333333333333,,silver
True,10,3,9085,4406,21,166405,17130,166,13192,MIDDLE,24.066666666666666,,silver
True,7,7,24525,13672,28,308562,26743,273,18308,MIDDLE,36.96666666666667,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,2,6,8524,6313,22,215020,16661,234,11871,MIDDLE,31.116666666666667,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,4,0,5831,3194,12,67620,6135,120,7379,MIDDLE,18.466666666666665,,silver
False,1,5,4622,1328,20,115490,18337,179,9605,MIDDLE,32.06666666666667,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,9,4,7860,1666,31,166909,26660,191,14230,MIDDLE,36.3,,silver
True,5,3,11004,1414,29,169159,17157,226,12886,MIDDLE,34.65,,silver
True,7,8,10231,4504,31,171090,28670,215,14205,MIDDLE,38.61666666666667,,silver
False,0,2,1097,1097,8,64709,8927,132,5472,TOP,17.666666666666668,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,0,9,5552,606,53,29854,27956,20,9378,UTILITY,37.3,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,11,4,8823,1581,4,110149,20508,171,12616,MIDDLE,26.95,,silver
True,22,3,12587,2933,11,182147,26511,188,18790,MIDDLE,34.18333333333333,,silver
True,17,3,4715,0,12,122875,19562,163,14851,MIDDLE,30.033333333333335,,silver
True,13,7,7670,2746,8,113186,29345,142,14527,MIDDLE,34.166666666666664,,silver
False,7,8,6886,5141,7,113562,43363,160,12151,TOP,30.416666666666668,,silver
False,7,4,2753,1201,5,87323,15545,132,9502,MIDDLE,25.416666666666668,,silver
True,12,7,3355,2423,7,87308,23845,126,12634,MIDDLE,28.15,,silver
True,12,2,5777,4635,6,97038,15436,161,12387,MIDDLE,23.05,,silver
False,2,5,3919,536,13,206883,28048,250,13343,MIDDLE,36.55,,silver
False,13,7,16654,509,17,172013,33674,157,15195,MIDDLE,39.11666666666667,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,7,4,10445,7342,20,397350,44106,392,19406,TOP,39.2,,silver
False,6,8,10940,5946,11,192274,45273,200,12873,TOP,30.566666666666666,,silver
False,4,7,9208,5839,5,186752,25530,214,11830,TOP,30.033333333333335,,silver
False,3,8,3657,3657,8,140135,29434,187,10177,TOP,27.85,,silver
False,1,2,575,575,7,63930,8590,103,5427,TOP,16.533333333333335,,silver
True,8,8,6031,6031,10,310685,65585,291,17504,TOP,38.75,,silver
True,9,4,16036,9221,15,221012,40301,231,14501,TOP,31.35,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,1,2,19358,8516,17,167757,14418,208,11211,BOTTOM,28.066666666666666,,silver
True,5,9,31577,7772,18,206183,20207,183,13384,BOTTOM,30.133333333333333,,silver
False,2,3,706,706,9,34508,7018,89,4829,BOTTOM,15.383333333333333,,silver
True,10,3,30994,4784,15,196324,23435,180,14519,BOTTOM,33.43333333333333,,silver
False,0,10,0,0,12,23982,14469,40,4773,UTILITY,24.65,,silver
True,1,5,4660,1365,88,35063,24095,37,10546,UTILITY,34.6,,silver
False,20,9,20022,3409,21,423537,49913,325,23166,BOTTOM,45.233333333333334,,silver
True,9,6,14871,3713,11,183792,23374,184,15346,BOTTOM,31.766666666666666,,silver
False,7,9,2949,2263,11,93951,19166,130,10550,BOTTOM,24.383333333333333,,silver
True,26,11,28592,2339,12,263955,30316,197,20063,BOTTOM,37.11666666666667,,silver
False,2,5,6054,0,22,82186,19323,18,6210,JUNGLE,20.566666666666666,,silver
True,9,1,9039,985,43,208063,28904,242,14536,MIDDLE,32.15,,silver
True,6,3,11539,3558,24,116567,16451,157,10562,MIDDLE,24.9,,silver
,,,,,,,,,,,,,silver
False,7,8,23396,422,29,195909,37337,63,13161,JUNGLE,33.4,,silver
False,6,5,0,0,22,97158,24032,139,9492,MIDDLE,26.716666666666665,,silver
True,12,8,25481,4648,33,170035,21060,167,15021,BOTTOM,34.1,,silver
False,6,8,8605,344,48,334651,45934,303,17064,MIDDLE,43.06666666666667,,silver
False,4,7,8211,2610,34,126736,36967,153,11410,MIDDLE,32.53333333333333,,silver
True,2,0,0,0,1,10342,1008,29,2140,MIDDLE,4.733333333333333,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,9,9,44915,371,16,259245,40295,18,14903,JUNGLE,38.5,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,2,7,1298,1298,16,159588,25549,210,10157,MIDDLE,28.85,,silver
True,7,7,30454,5094,23,207569,42744,21,12885,JUNGLE,33.2,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,4,9,5621,0,19,130949,27921,12,9287,JUNGLE,26.616666666666667,,silver
False,3,5,3104,0,20,103221,23472,16,7535,JUNGLE,25.866666666666667,,silver
True,10,7,38811,2848,39,258941,60705,43,16619,JUNGLE,41.333333333333336,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,5,7,23779,3904,25,131441,33721,148,13894,BOTTOM,39.63333333333333,,silver
True,4,5,6605,1934,20,100750,14031,151,10202,BOTTOM,29.133333333333333,,silver
True,8,7,31400,3128,24,193178,26574,185,14284,BOTTOM,36.85,,silver
False,1,11,0,0,21,66113,19205,114,6801,BOTTOM,26.583333333333332,,silver
,,,,,,,,,,,,,silver
False,2,6,946,667,67,39890,16291,37,7858,UTILITY,26.416666666666668,,silver
True,1,1,2047,2047,19,16295,4087,11,5384,UTILITY,15.916666666666666,,silver
,,,,,,,,,,,,,silver
True,6,5,15267,1847,41,129101,15423,165,13340,BOTTOM,35.333333333333336,,silver
False,4,5,228,228,14,70138,12496,111,7867,BOTTOM,22.283333333333335,,silver
False,1,3,1009,0,16,49373,11169,109,6805,BOTTOM,23.25,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,4,9,6846,1013,37,230134,28092,218,15862,BOTTOM,48.68333333333333,,silver
False,0,6,1001,0,10,88166,15017,150,7832,BOTTOM,27.8,,silver
False,8,9,5245,861,12,99775,20012,144,11075,BOTTOM,26.983333333333334,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,0,5,480,0,24,14816,9419,27,3702,UTILITY,17.133333333333333,,silver
False,6,8,21883,4072,11,196772,24513,192,14078,BOTTOM,28.416666666666668,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,2,8,1808,1121,7,67704,16343,118,7810,BOTTOM,23.833333333333332,,silver
True,4,9,5924,5298,13,176987,27748,208,13366,BOTTOM,34.06666666666667,,silver
True,15,6,20546,8548,8,284790,40497,235,20158,BOTTOM,37.38333333333333,,silver
True,14,11,17226,770,78,143988,26857,59,16944,UTILITY,43.96666666666667,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,5,9,2681,668,16,119159,20493,144,9860,TOP,28.183333333333334,,silver
False,2,9,6093,865,12,103280,20233,160,9023,TOP,25.633333333333333,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
False,0,6,0,0,6,47827,10934,121,5600,BOTTOM,22.2,,silver
True,4,2,1991,68,3,52829,6152,120,6285,BOTTOM,16.3,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
,,,,,,,,,,,,,silver
True,15,7,12638,6823,21,140848,21338,158,15251,BOTTOM,30.266666666666666,,silver
False,11,11,7807,5386,18,213880,84394,228,16802,TOP,41.233333333333334,,silver
True,8,8,8047,2898,15,117989,16784,153,11967,BOTTOM,29.783333333333335,,silver
False,1,3,631,631,7,60299,6746,126,5858,BOTTOM,17.183333333333334,,silver
False,0,0,0,0,0,471,0,0,500,BOTTOM,1.7833333333333334,,silver
True,11,6,5021,4692,18,127889,18034,169,13492,BOTTOM,26.25,,silver
False,4,7,392,392,4,57718,23704,135,7873,TOP,23.983333333333334,,silver
True,21,6,4669,2868,14,180912,41376,231,19657,TOP,35.233333333333334,,silver
True,8,12,6989,3354,14,185063,43992,230,15945,TOP,40.016666666666666,,silver
True,1,0,0,0,0,1138,666,3,1018,TOP,2.1666666666666665,,silver
,,,,,,,,,,,,,silver
