champion,position,0,rank
Naafiri,MIDDLE,,bronze
Jinx,BOTTOM,,bronze
Aphelios,BOTTOM,,bronze
Ezreal,BOTTOM,,bronze
Volibear,TOP,,bronze
Jax,TOP,,bronze
Ryze,MIDDLE,,bronze
Vex,MIDDLE,,bronze
Yasuo,TOP,,bronze
Vayne,BOTTOM,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
Akali,MIDDLE,,bronze
,,,bronze
Zed,MIDDLE,,bronze
Renekton,TOP,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
TahmKench,MIDDLE,,bronze
TahmKench,TOP,,bronze
TahmKench,TOP,,bronze
Milio,UTILITY,,bronze
Milio,UTILITY,,bronze
Riven,TOP,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
Kaisa,BOTTOM,,bronze
Caitlyn,BOTTOM,,bronze
Jayce,TOP,,bronze
Irelia,TOP,,bronze
Yone,TOP,,bronze
Yone,TOP,,bronze
Jax,TOP,,bronze
Yone,TOP,,bronze
Kayle,TOP,,bronze
Ezreal,BOTTOM,,bronze
Garen,TOP,,bronze
Sett,TOP,,bronze
Fizz,MIDDLE,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
MasterYi,JUNGLE,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
MasterYi,JUNGLE,,bronze
Warwick,JUNGLE,,bronze
MasterYi,JUNGLE,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
Lux,UTILITY,,bronze
Lux,UTILITY,,bronze
Lux,UTILITY,,bronze
Lux,UTILITY,,bronze
Maokai,UTILITY,,bronze
Maokai,UTILITY,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
Graves,JUNGLE,,bronze
,,,bronze
,,,bronze
,,,bronze
,,,bronze
Shyvana,JUNGLE,,bronze
Kayn,JUNGLE,,bronze
Shyvana,JUNGLE,,bronze
Sylas,JUNGLE,,bronze
Evelynn,JUNGLE,,bronze
Khazix,JUNGLE,,bronze
,,,bronze
