champion,position,0,rank
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Jayce,TOP,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Lillia,JUNGLE,,emerald
,,,emerald
,,,emerald
,,,emerald
Ashe,UTILITY,,emerald
Sion,MIDDLE,,emerald
Shen,MIDDLE,,emerald
Shen,MIDDLE,,emerald
Syndra,MIDDLE,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Seraphine,BOTTOM,,emerald
Seraphine,BOTTOM,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Warwick,JUNGLE,,emerald
Shyvana,JUNGLE,,emerald
Warwick,JUNGLE,,emerald
Warwick,JUNGLE,,emerald
Warwick,JUNGLE,,emerald
MasterYi,JUNGLE,,emerald
MasterYi,JUNGLE,,emerald
MasterYi,JUNGLE,,emerald
Warwick,JUNGLE,,emerald
Warwick,JUNGLE,,emerald
Camille,TOP,,emerald
Sett,TOP,,emerald
Sett,TOP,,emerald
,,,emerald
KSante,TOP,,emerald
Camille,TOP,,emerald
KSante,TOP,,emerald
Sett,TOP,,emerald
DrMundo,TOP,,emerald
KSante,TOP,,emerald
Ezreal,BOTTOM,,emerald
Xerath,MIDDLE,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
AurelionSol,MIDDLE,,emerald
,,,emerald
,,,emerald
KSante,TOP,,emerald
KSante,TOP,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Jinx,BOTTOM,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Alistar,UTILITY,,emerald
Alistar,UTILITY,,emerald
Alistar,UTILITY,,emerald
Alistar,UTILITY,,emerald
Alistar,UTILITY,,emerald
Alistar,UTILITY,,emerald
Alistar,UTILITY,,emerald
Alistar,UTILITY,,emerald
Alistar,UTILITY,,emerald
Fiora,TOP,,emerald
Darius,TOP,,emerald
Darius,TOP,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Yone,TOP,,emerald
Yone,TOP,,emerald
Yone,MIDDLE,,emerald
Akali,MIDDLE,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Hecarim,JUNGLE,,emerald
,,,emerald
Diana,MIDDLE,,emerald
MissFortune,BOTTOM,,emerald
Jinx,BOTTOM,,emerald
Jinx,BOTTOM,,emerald
Jinx,BOTTOM,,emerald
XinZhao,JUNGLE,,emerald
XinZhao,JUNGLE,,emerald
XinZhao,JUNGLE,,emerald
,,,emerald
,,,emerald
Jinx,BOTTOM,,emerald
Jinx,BOTTOM,,emerald
,,,emerald
Ezreal,BOTTOM,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Kayn,JUNGLE,,emerald
Evelynn,JUNGLE,,emerald
Kayn,JUNGLE,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Sona,UTILITY,,emerald
Veigar,JUNGLE,,emerald
JarvanIV,JUNGLE,,emerald
,,,emerald
JarvanIV,JUNGLE,,emerald
JarvanIV,JUNGLE,,emerald
Pantheon,MIDDLE,,emerald
MasterYi,JUNGLE,,emerald
JarvanIV,JUNGLE,,emerald
Graves,JUNGLE,,emerald
Graves,JUNGLE,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Taliyah,UTILITY,,emerald
Ashe,UTILITY,,emerald
Twitch,UTILITY,,emerald
,,,emerald
Brand,UTILITY,,emerald
,,,emerald
,,,emerald
Xerath,UTILITY,,emerald
Xerath,UTILITY,,emerald
Xerath,UTILITY,,emerald
Xerath,UTILITY,,emerald
Xerath,UTILITY,,emerald
Xerath,MIDDLE,,emerald
Xerath,UTILITY,,emerald
Xerath,UTILITY,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Twitch,BOTTOM,,emerald
Twitch,BOTTOM,,emerald
Twitch,BOTTOM,,emerald
Graves,JUNGLE,,emerald
LeeSin,JUNGLE,,emerald
,,,emerald
,,,emerald
,,,emerald
Twitch,MIDDLE,,emerald
Twitch,MIDDLE,,emerald
Irelia,TOP,,emerald
Yone,TOP,,emerald
Garen,TOP,,emerald
Kayn,JUNGLE,,emerald
Pyke,UTILITY,,emerald
Yone,MIDDLE,,emerald
Lillia,JUNGLE,,emerald
,,,emerald
,,,emerald
,,,emerald
Ashe,BOTTOM,,emerald
Jhin,BOTTOM,,emerald
Sylas,MIDDLE,,emerald
Caitlyn,BOTTOM,,emerald
Jhin,BOTTOM,,emerald
MissFortune,BOTTOM,,emerald
Ashe,BOTTOM,,emerald
MissFortune,BOTTOM,,emerald
Ashe,BOTTOM,,emerald
Nautilus,UTILITY,,emerald
Nunu,JUNGLE,,emerald
Nunu,JUNGLE,,emerald
Nunu,JUNGLE,,emerald
Nunu,JUNGLE,,emerald
Nunu,JUNGLE,,emerald
Nunu,JUNGLE,,emerald
Nunu,JUNGLE,,emerald
Nunu,JUNGLE,,emerald
Nunu,JUNGLE,,emerald
Nunu,JUNGLE,,emerald
,,,emerald
,,,emerald
Zed,MIDDLE,,emerald
Zed,MIDDLE,,emerald
Zed,MIDDLE,,emerald
Pyke,UTILITY,,emerald
Zed,MIDDLE,,emerald
Aatrox,TOP,,emerald
Talon,MIDDLE,,emerald
,,,emerald
Veigar,UTILITY,,emerald
Thresh,UTILITY,,emerald
Veigar,UTILITY,,emerald
Thresh,UTILITY,,emerald
Karthus,UTILITY,,emerald
Morgana,UTILITY,,emerald
Veigar,UTILITY,,emerald
Leona,UTILITY,,emerald
Leona,UTILITY,,emerald
Karma,UTILITY,,emerald
Akshan,MIDDLE,,emerald
Yone,TOP,,emerald
Jax,TOP,,emerald
TahmKench,BOTTOM,,emerald
Ashe,BOTTOM,,emerald
Pyke,UTILITY,,emerald
Pyke,UTILITY,,emerald
Ezreal,BOTTOM,,emerald
,,,emerald
Caitlyn,BOTTOM,,emerald
Darius,TOP,,emerald
Darius,TOP,,emerald
DrMundo,TOP,,emerald
Darius,TOP,,emerald
Garen,TOP,,emerald
Darius,TOP,,emerald
Sett,TOP,,emerald
Garen,TOP,,emerald
Darius,TOP,,emerald
Garen,TOP,,emerald
Nautilus,UTILITY,,emerald
Nautilus,UTILITY,,emerald
Pantheon,MIDDLE,,emerald
Garen,TOP,,emerald
Vladimir,MIDDLE,,emerald
Vladimir,MIDDLE,,emerald
Naafiri,MIDDLE,,emerald
Sejuani,JUNGLE,,emerald
Nunu,JUNGLE,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
,,,emerald
Teemo,TOP,,emerald
Teemo,TOP,,emerald
Teemo,TOP,,emerald
