champion,position,0,rank
Evelynn,JUNGLE,,gold
Evelynn,JUNGLE,,gold
Evelynn,JUNGLE,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
MasterYi,JUNGLE,,gold
Samira,BOTTOM,,gold
Nunu,JUNGLE,,gold
Lux,UTILITY,,gold
Seraphine,UTILITY,,gold
Ashe,BOTTOM,,gold
Sivir,BOTTOM,,gold
Amumu,JUNGLE,,gold
Braum,UTILITY,,gold
Yone,TOP,,gold
MonkeyKing,BOTTOM,,gold
MonkeyKing,BOTTOM,,gold
MonkeyKing,BOTTOM,,gold
MonkeyKing,JUNGLE,,gold
MonkeyKing,BOTTOM,,gold
MonkeyKing,JUNGLE,,gold
MonkeyKing,JUNGLE,,gold
MonkeyKing,JUNGLE,,gold
MonkeyKing,JUNGLE,,gold
MonkeyKing,JUNGLE,,gold
,,,gold
Alistar,UTILITY,,gold
Alistar,UTILITY,,gold
Rakan,UTILITY,,gold
Rakan,UTILITY,,gold
Braum,UTILITY,,gold
Alistar,UTILITY,,gold
Alistar,UTILITY,,gold
Rakan,UTILITY,,gold
Rakan,UTILITY,,gold
,,,gold
,,,gold
Rakan,UTILITY,,gold
Pyke,UTILITY,,gold
Alistar,UTILITY,,gold
Alistar,UTILITY,,gold
Alistar,UTILITY,,gold
Karma,UTILITY,,gold
Alistar,UTILITY,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
Janna,UTILITY,,gold
Milio,UTILITY,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
Milio,UTILITY,,gold
,,,gold
,,,gold
Thresh,UTILITY,,gold
Thresh,UTILITY,,gold
Thresh,UTILITY,,gold
Thresh,UTILITY,,gold
Thresh,UTILITY,,gold
Thresh,UTILITY,,gold
Thresh,UTILITY,,gold
Thresh,UTILITY,,gold
Karma,UTILITY,,gold
Thresh,UTILITY,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
Zed,MIDDLE,,gold
Talon,MIDDLE,,gold
Sylas,MIDDLE,,gold
Viktor,MIDDLE,,gold
Renekton,TOP,,gold
Khazix,JUNGLE,,gold
Khazix,JUNGLE,,gold
Khazix,JUNGLE,,gold
JarvanIV,JUNGLE,,gold
Aatrox,TOP,,gold
Renekton,TOP,,gold
JarvanIV,JUNGLE,,gold
Darius,TOP,,gold
Darius,TOP,,gold
JarvanIV,JUNGLE,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
Soraka,UTILITY,,gold
Zyra,UTILITY,,gold
Nami,UTILITY,,gold
MissFortune,BOTTOM,,gold
Caitlyn,BOTTOM,,gold
,,,gold
,,,gold
,,,gold
DrMundo,TOP,,gold
Darius,TOP,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
,,,gold
Anivia,MIDDLE,,gold
Anivia,MIDDLE,,gold
Anivia,MIDDLE,,gold
Thresh,UTILITY,,gold
Anivia,MIDDLE,,gold
Anivia,MIDDLE,,gold
Anivia,MIDDLE,,gold
Anivia,MIDDLE,,gold
Anivia,MIDDLE,,gold
