champion,position,0,rank
Akali,MIDDLE,,iron
Fizz,MIDDLE,,iron
Fizz,MIDDLE,,iron
Fizz,MIDDLE,,iron
Fizz,MIDDLE,,iron
Irelia,TOP,,iron
Yone,TOP,,iron
Yasuo,MIDDLE,,iron
Fizz,MIDDLE,,iron
Fizz,MIDDLE,,iron
Soraka,UTILITY,,iron
Soraka,UTILITY,,iron
Diana,JUNGLE,,iron
,,,iron
Morgana,UTILITY,,iron
Soraka,UTILITY,,iron
Soraka,UTILITY,,iron
Soraka,UTILITY,,iron
Soraka,UTILITY,,iron
Ashe,UTILITY,,iron
Akali,MIDDLE,,iron
Akali,MIDDLE,,iron
Akali,MIDDLE,,iron
Akali,MIDDLE,,iron
Velkoz,MIDDLE,,iron
Akali,MIDDLE,,iron
XinZhao,JUNGLE,,iron
,,,iron
,,,iron
Maokai,JUNGLE,,iron
Nilah,BOTTOM,,iron
MissFortune,BOTTOM,,iron
Lucian,BOTTOM,,iron
Ekko,MIDDLE,,iron
Fizz,MIDDLE,,iron
Fizz,MIDDLE,,iron
Samira,BOTTOM,,iron
Seraphine,BOTTOM,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
Nocturne,JUNGLE,,iron
Hecarim,JUNGLE,,iron
Kindred,JUNGLE,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
Rengar,JUNGLE,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
MissFortune,BOTTOM,,iron
MissFortune,BOTTOM,,iron
MissFortune,BOTTOM,,iron
Tristana,BOTTOM,,iron
MissFortune,BOTTOM,,iron
MissFortune,BOTTOM,,iron
MissFortune,BOTTOM,,iron
Lux,UTILITY,,iron
Ezreal,BOTTOM,,iron
Ezreal,BOTTOM,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
Lux,MIDDLE,,iron
Ahri,MIDDLE,,iron
Ahri,MIDDLE,,iron
Lux,MIDDLE,,iron
Lux,MIDDLE,,iron
Ahri,MIDDLE,,iron
Lux,MIDDLE,,iron
Lux,UTILITY,,iron
Morgana,UTILITY,,iron
Lux,MIDDLE,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
,,,iron
