champion,position,0,rank
Camille,TOP,,platinum
Riven,TOP,,platinum
Camille,TOP,,platinum
Irelia,TOP,,platinum
Camille,TOP,,platinum
Riven,TOP,,platinum
Zoe,MIDDLE,,platinum
Neeko,UTILITY,,platinum
Blitzcrank,UTILITY,,platinum
Zoe,UTILITY,,platinum
Khazix,JUNGLE,,platinum
Evelynn,JUNGLE,,platinum
Khazix,JUNGLE,,platinum
Udyr,JUNGLE,,platinum
Khazix,JUNGLE,,platinum
Evelynn,JUNGLE,,platinum
Khazix,JUNGLE,,platinum
Karthus,JUNGLE,,platinum
Karthus,JUNGLE,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Thresh,UTILITY,,platinum
Thresh,UTILITY,,platinum
Blitzcrank,UTILITY,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Garen,TOP,,platinum
Irelia,TOP,,platinum
Swain,TOP,,platinum
Garen,TOP,,platinum
Irelia,TOP,,platinum
Kayle,TOP,,platinum
Irelia,TOP,,platinum
Irelia,TOP,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
,,,platinum
Lux,UTILITY,,platinum
Lux,UTILITY,,platinum
,,,platinum
,,,platinum
Lulu,UTILITY,,platinum
Lux,UTILITY,,platinum
Sivir,BOTTOM,,platinum
Sivir,BOTTOM,,platinum
,,,platinum
,,,platinum
Quinn,MIDDLE,,platinum
Quinn,MIDDLE,,platinum
Quinn,MIDDLE,,platinum
Quinn,MIDDLE,,platinum
Quinn,MIDDLE,,platinum
Quinn,TOP,,platinum
Olaf,TOP,,platinum
Olaf,TOP,,platinum
Olaf,TOP,,platinum
