champion,position,0,rank
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Ahri,MIDDLE,,silver
Yone,MIDDLE,,silver
LeeSin,JUNGLE,,silver
Viktor,MIDDLE,,silver
Yasuo,MIDDLE,,silver
Yasuo,MIDDLE,,silver
Nunu,JUNGLE,,silver
Renekton,MIDDLE,,silver
Renekton,MIDDLE,,silver
Renekton,MIDDLE,,silver
Renekton,MIDDLE,,silver
Renekton,MIDDLE,,silver
Sylas,MIDDLE,,silver
AurelionSol,MIDDLE,,silver
Ryze,MIDDLE,,silver
Sylas,MIDDLE,,silver
Sylas,MIDDLE,,silver
Kaisa,MIDDLE,,silver
Kaisa,MIDDLE,,silver
Kaisa,MIDDLE,,silver
Kaisa,MIDDLE,,silver
Vladimir,MIDDLE,,silver
Orianna,MIDDLE,,silver
Aphelios,BOTTOM,,silver
Mordekaiser,TOP,,silver
Karthus,JUNGLE,,silver
Kaisa,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Malphite,TOP,,silver
MonkeyKing,TOP,,silver
MonkeyKing,TOP,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Nocturne,JUNGLE,,silver
Nocturne,JUNGLE,,silver
Nocturne,JUNGLE,,silver
,,,silver
Akali,TOP,,silver
Renekton,TOP,,silver
,,,silver
MasterYi,JUNGLE,,silver
Naafiri,JUNGLE,,silver
Kayn,JUNGLE,,silver
Naafiri,JUNGLE,,silver
Warwick,JUNGLE,,silver
Warwick,JUNGLE,,silver
Aatrox,TOP,,silver
Milio,UTILITY,,silver
Rell,UTILITY,,silver
,,,silver
,,,silver
Senna,UTILITY,,silver
Lux,UTILITY,,silver
Milio,UTILITY,,silver
,,,silver
Sona,UTILITY,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Rammus,JUNGLE,,silver
Nocturne,JUNGLE,,silver
Khazix,JUNGLE,,silver
Nocturne,JUNGLE,,silver
Khazix,JUNGLE,,silver
Rammus,JUNGLE,,silver
Nocturne,JUNGLE,,silver
Rammus,JUNGLE,,silver
Nocturne,JUNGLE,,silver
Briar,JUNGLE,,silver
,,,silver
Karma,UTILITY,,silver
Shen,TOP,,silver
Nami,UTILITY,,silver
Chogath,TOP,,silver
,,,silver
,,,silver
,,,silver
Karma,UTILITY,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Lillia,JUNGLE,,silver
,,,silver
Pyke,UTILITY,,silver
Pyke,UTILITY,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Graves,JUNGLE,,silver
Nautilus,UTILITY,,silver
Nautilus,UTILITY,,silver
Soraka,UTILITY,,silver
Lux,UTILITY,,silver
Nautilus,UTILITY,,silver
Lux,UTILITY,,silver
Lux,UTILITY,,silver
Soraka,UTILITY,,silver
Illaoi,TOP,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Nami,UTILITY,,silver
Nami,UTILITY,,silver
Nami,UTILITY,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Ziggs,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Kaisa,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Caitlyn,BOTTOM,,silver
Caitlyn,BOTTOM,,silver
Caitlyn,BOTTOM,,silver
,,,silver
Chogath,TOP,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Caitlyn,BOTTOM,,silver
Aphelios,BOTTOM,,silver
Sivir,BOTTOM,,silver
Kaisa,BOTTOM,,silver
Lucian,BOTTOM,,silver
Rell,UTILITY,,silver
Rell,UTILITY,,silver
Ezreal,BOTTOM,,silver
Kaisa,BOTTOM,,silver
Lucian,BOTTOM,,silver
Karthus,BOTTOM,,silver
Gragas,JUNGLE,,silver
Vladimir,MIDDLE,,silver
Ahri,MIDDLE,,silver
,,,silver
Gragas,JUNGLE,,silver
Fizz,MIDDLE,,silver
Jhin,BOTTOM,,silver
Yone,MIDDLE,,silver
Sylas,MIDDLE,,silver
Zoe,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Syndra,MIDDLE,,silver
Yasuo,MIDDLE,,silver
Yasuo,MIDDLE,,silver
Yasuo,MIDDLE,,silver
,,,silver
Yasuo,MIDDLE,,silver
Yasuo,MIDDLE,,silver
,,,silver
,,,silver
FiddleSticks,JUNGLE,,silver
Riven,TOP,,silver
Riven,TOP,,silver
Riven,TOP,,silver
Riven,TOP,,silver
Riven,TOP,,silver
Riven,TOP,,silver
Riven,TOP,,silver
Riven,TOP,,silver
Fiora,TOP,,silver
Riven,TOP,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Syndra,MIDDLE,,silver
Syndra,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
Ahri,MIDDLE,,silver
Evelynn,JUNGLE,,silver
Malzahar,MIDDLE,,silver
Pantheon,MIDDLE,,silver
Fizz,MIDDLE,,silver
Malzahar,MIDDLE,,silver
Yasuo,MIDDLE,,silver
Malzahar,MIDDLE,,silver
Veigar,MIDDLE,,silver
Malzahar,MIDDLE,,silver
Thresh,UTILITY,,silver
Karma,UTILITY,,silver
Lucian,BOTTOM,,silver
Lucian,BOTTOM,,silver
JarvanIV,JUNGLE,,silver
Lucian,BOTTOM,,silver
JarvanIV,JUNGLE,,silver
Thresh,UTILITY,,silver
Karma,UTILITY,,silver
LeeSin,JUNGLE,,silver
Kayn,JUNGLE,,silver
Kayn,JUNGLE,,silver
Tristana,BOTTOM,,silver
Sion,TOP,,silver
Kayle,TOP,,silver
DrMundo,TOP,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Hecarim,JUNGLE,,silver
Ryze,MIDDLE,,silver
Anivia,MIDDLE,,silver
Anivia,MIDDLE,,silver
Anivia,MIDDLE,,silver
Amumu,JUNGLE,,silver
Teemo,TOP,,silver
Darius,TOP,,silver
Warwick,JUNGLE,,silver
Darius,TOP,,silver
Darius,TOP,,silver
Darius,TOP,,silver
Warwick,JUNGLE,,silver
Warwick,JUNGLE,,silver
MasterYi,JUNGLE,,silver
Warwick,JUNGLE,,silver
Warwick,JUNGLE,,silver
Warwick,JUNGLE,,silver
MasterYi,JUNGLE,,silver
Warwick,JUNGLE,,silver
Warwick,JUNGLE,,silver
Warwick,JUNGLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Xerath,BOTTOM,,silver
Caitlyn,BOTTOM,,silver
Jhin,BOTTOM,,silver
Morgana,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Sion,TOP,,silver
Sion,TOP,,silver
Sion,TOP,,silver
Sion,TOP,,silver
Kayle,TOP,,silver
Sion,TOP,,silver
Sion,TOP,,silver
Sion,TOP,,silver
Corki,MIDDLE,,silver
Corki,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Ezreal,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Kayn,JUNGLE,,silver
Samira,BOTTOM,,silver
Samira,BOTTOM,,silver
Samira,BOTTOM,,silver
Kayn,JUNGLE,,silver
Nunu,JUNGLE,,silver
Nunu,JUNGLE,,silver
Nunu,JUNGLE,,silver
Nunu,JUNGLE,,silver
Nunu,JUNGLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Lucian,MIDDLE,,silver
Lucian,MIDDLE,,silver
FiddleSticks,JUNGLE,,silver
Karthus,JUNGLE,,silver
FiddleSticks,JUNGLE,,silver
Lillia,JUNGLE,,silver
Karthus,JUNGLE,,silver
Karthus,JUNGLE,,silver
FiddleSticks,JUNGLE,,silver
Nasus,TOP,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Viktor,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Pyke,UTILITY,,silver
Pyke,UTILITY,,silver
Pyke,UTILITY,,silver
Pyke,UTILITY,,silver
Pyke,UTILITY,,silver
Pyke,UTILITY,,silver
Pyke,UTILITY,,silver
Pyke,UTILITY,,silver
Pyke,UTILITY,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Ornn,TOP,,silver
Urgot,TOP,,silver
Nasus,TOP,,silver
,,,silver
Tryndamere,TOP,,silver
Yorick,TOP,,silver
Xerath,UTILITY,,silver
Sivir,BOTTOM,,silver
Ziggs,MIDDLE,,silver
Yasuo,MIDDLE,,silver
Anivia,MIDDLE,,silver
Bard,UTILITY,,silver
Bard,UTILITY,,silver
Blitzcrank,UTILITY,,silver
XinZhao,JUNGLE,,silver
Bard,UTILITY,,silver
Trundle,TOP,,silver
,,,silver
,,,silver
Veigar,MIDDLE,,silver
Yasuo,MIDDLE,,silver
Vayne,BOTTOM,,silver
Hecarim,JUNGLE,,silver
MasterYi,JUNGLE,,silver
Fizz,MIDDLE,,silver
Vayne,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Nocturne,JUNGLE,,silver
MasterYi,JUNGLE,,silver
MasterYi,JUNGLE,,silver
Karthus,UTILITY,,silver
MasterYi,JUNGLE,,silver
MasterYi,JUNGLE,,silver
MasterYi,JUNGLE,,silver
MasterYi,JUNGLE,,silver
MasterYi,JUNGLE,,silver
MasterYi,JUNGLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Nidalee,JUNGLE,,silver
Nidalee,JUNGLE,,silver
Nidalee,JUNGLE,,silver
Nidalee,JUNGLE,,silver
Nidalee,JUNGLE,,silver
LeeSin,JUNGLE,,silver
LeeSin,JUNGLE,,silver
LeeSin,JUNGLE,,silver
LeeSin,JUNGLE,,silver
Jayce,BOTTOM,,silver
Veigar,MIDDLE,,silver
Yasuo,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Yasuo,MIDDLE,,silver
Yasuo,MIDDLE,,silver
Yasuo,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
DrMundo,JUNGLE,,silver
Jhin,BOTTOM,,silver
Blitzcrank,UTILITY,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Yasuo,MIDDLE,,silver
Yasuo,MIDDLE,,silver
Irelia,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Irelia,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
Xayah,BOTTOM,,silver
KogMaw,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Sivir,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Ezreal,BOTTOM,,silver
Jhin,BOTTOM,,silver
Ezreal,BOTTOM,,silver
Jhin,BOTTOM,,silver
Caitlyn,BOTTOM,,silver
Caitlyn,BOTTOM,,silver
Ziggs,BOTTOM,,silver
Caitlyn,BOTTOM,,silver
Ashe,BOTTOM,,silver
Caitlyn,BOTTOM,,silver
Ziggs,BOTTOM,,silver
Ziggs,BOTTOM,,silver
Ziggs,MIDDLE,,silver
Ziggs,MIDDLE,,silver
Ziggs,MIDDLE,,silver
Ziggs,MIDDLE,,silver
Ziggs,BOTTOM,,silver
Ziggs,MIDDLE,,silver
Ziggs,MIDDLE,,silver
Alistar,UTILITY,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Zoe,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Vayne,BOTTOM,,silver
MissFortune,BOTTOM,,silver
MissFortune,BOTTOM,,silver
Lucian,BOTTOM,,silver
Jinx,BOTTOM,,silver
Vayne,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Morgana,JUNGLE,,silver
Morgana,JUNGLE,,silver
Morgana,JUNGLE,,silver
Diana,JUNGLE,,silver
JarvanIV,JUNGLE,,silver
Teemo,JUNGLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Swain,MIDDLE,,silver
AurelionSol,MIDDLE,,silver
AurelionSol,MIDDLE,,silver
Brand,MIDDLE,,silver
Veigar,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
XinZhao,MIDDLE,,silver
XinZhao,MIDDLE,,silver
XinZhao,MIDDLE,,silver
XinZhao,MIDDLE,,silver
XinZhao,MIDDLE,,silver
XinZhao,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Sona,UTILITY,,silver
Sona,UTILITY,,silver
Lux,UTILITY,,silver
Sona,UTILITY,,silver
Sona,UTILITY,,silver
Lulu,UTILITY,,silver
MissFortune,BOTTOM,,silver
Lux,UTILITY,,silver
Sona,UTILITY,,silver
Caitlyn,BOTTOM,,silver
Poppy,JUNGLE,,silver
Poppy,JUNGLE,,silver
Morgana,UTILITY,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Udyr,JUNGLE,,silver
Vayne,BOTTOM,,silver
Senna,UTILITY,,silver
,,,silver
,,,silver
,,,silver
Heimerdinger,BOTTOM,,silver
MissFortune,BOTTOM,,silver
,,,silver
Zed,MIDDLE,,silver
Heimerdinger,UTILITY,,silver
Heimerdinger,MIDDLE,,silver
Heimerdinger,MIDDLE,,silver
Zed,MIDDLE,,silver
Heimerdinger,MIDDLE,,silver
Heimerdinger,UTILITY,,silver
Khazix,JUNGLE,,silver
Ezreal,BOTTOM,,silver
Khazix,JUNGLE,,silver
Khazix,JUNGLE,,silver
Khazix,JUNGLE,,silver
Khazix,JUNGLE,,silver
Khazix,JUNGLE,,silver
Khazix,JUNGLE,,silver
Khazix,JUNGLE,,silver
Ezreal,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Nasus,TOP,,silver
Nasus,TOP,,silver
,,,silver
Katarina,MIDDLE,,silver
Irelia,MIDDLE,,silver
Katarina,MIDDLE,,silver
Nasus,TOP,,silver
Jax,TOP,,silver
Camille,TOP,,silver
Tryndamere,TOP,,silver
Swain,MIDDLE,,silver
Swain,MIDDLE,,silver
Swain,MIDDLE,,silver
Swain,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Xerath,UTILITY,,silver
,,,silver
,,,silver
Sion,MIDDLE,,silver
Sion,TOP,,silver
Xerath,UTILITY,,silver
Xayah,BOTTOM,,silver
Xerath,UTILITY,,silver
MissFortune,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Ashe,BOTTOM,,silver
Ashe,BOTTOM,,silver
,,,silver
Ashe,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Jinx,BOTTOM,,silver
Jinx,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Renekton,TOP,,silver
,,,silver
,,,silver
,,,silver
DrMundo,TOP,,silver
DrMundo,TOP,,silver
Amumu,JUNGLE,,silver
Amumu,JUNGLE,,silver
DrMundo,TOP,,silver
DrMundo,TOP,,silver
Teemo,TOP,,silver
DrMundo,TOP,,silver
DrMundo,TOP,,silver
DrMundo,TOP,,silver
LeeSin,MIDDLE,,silver
Corki,MIDDLE,,silver
Yasuo,MIDDLE,,silver
LeeSin,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Veigar,MIDDLE,,silver
Vex,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Tristana,BOTTOM,,silver
Tristana,BOTTOM,,silver
Tristana,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Yone,MIDDLE,,silver
Zed,MIDDLE,,silver
Yone,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
Yone,MIDDLE,,silver
Fizz,MIDDLE,,silver
Kaisa,BOTTOM,,silver
Sivir,BOTTOM,,silver
,,,silver
Nasus,TOP,,silver
Fiora,TOP,,silver
Malphite,MIDDLE,,silver
Malphite,MIDDLE,,silver
Malphite,MIDDLE,,silver
Malphite,MIDDLE,,silver
Nasus,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Kaisa,BOTTOM,,silver
Kaisa,BOTTOM,,silver
Kaisa,BOTTOM,,silver
Kaisa,BOTTOM,,silver
Kaisa,BOTTOM,,silver
Xayah,BOTTOM,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Velkoz,MIDDLE,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Yasuo,MIDDLE,,silver
,,,silver
Jhin,BOTTOM,,silver
,,,silver
Talon,JUNGLE,,silver
Twitch,BOTTOM,,silver
Talon,MIDDLE,,silver
Zed,MIDDLE,,silver
,,,silver
Pyke,UTILITY,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
,,,silver
Shyvana,JUNGLE,,silver
Shyvana,JUNGLE,,silver
RekSai,JUNGLE,,silver
Pantheon,MIDDLE,,silver
Jinx,BOTTOM,,silver
Jinx,BOTTOM,,silver
Jinx,BOTTOM,,silver
