champion,position,rank
Akali,middle,iron
Fizz,middle,iron
Fizz,middle,iron
Fizz,middle,iron
Fizz,middle,iron
Irelia,top,iron
Yone,top,iron
Yasuo,middle,iron
Fizz,middle,iron
Fizz,middle,iron
Soraka,utility,iron
Soraka,utility,iron
Diana,jungle,iron
Morgana,utility,iron
Soraka,utility,iron
Soraka,utility,iron
Soraka,utility,iron
Soraka,utility,iron
Ashe,utility,iron
Akali,middle,iron
Akali,middle,iron
Akali,middle,iron
Akali,middle,iron
Velkoz,middle,iron
Akali,middle,iron
XinZhao,jungle,iron
Maokai,jungle,iron
Nilah,bottom,iron
MissFortune,bottom,iron
Lucian,bottom,iron
Ekko,middle,iron
Fizz,middle,iron
Fizz,middle,iron
Samira,bottom,iron
Seraphine,bottom,iron
Nocturne,jungle,iron
Hecarim,jungle,iron
Kindred,jungle,iron
Rengar,jungle,iron
MissFortune,bottom,iron
MissFortune,bottom,iron
MissFortune,bottom,iron
Tristana,bottom,iron
MissFortune,bottom,iron
MissFortune,bottom,iron
MissFortune,bottom,iron
Lux,utility,iron
Ezreal,bottom,iron
Ezreal,bottom,iron
Lux,middle,iron
Ahri,middle,iron
Ahri,middle,iron
Lux,middle,iron
Lux,middle,iron
Ahri,middle,iron
Lux,middle,iron
Lux,utility,iron
Morgana,utility,iron
Lux,middle,iron
Lucian,bottom,iron
MissFortune,bottom,iron
Ezreal,bottom,iron
MissFortune,bottom,iron
Veigar,middle,iron
Kassadin,middle,iron
Fizz,middle,iron
Fizz,middle,iron
Fizz,middle,iron
Veigar,middle,iron
Veigar,middle,iron
Veigar,middle,iron
Yorick,top,iron
Veigar,middle,iron
Veigar,middle,iron
Yorick,top,iron
FiddleSticks,jungle,iron
Kaisa,bottom,iron
Kaisa,bottom,iron
Kaisa,bottom,iron
Kaisa,bottom,iron
Kaisa,bottom,iron
Kaisa,bottom,iron
Kaisa,bottom,iron
Kaisa,bottom,iron
Kaisa,bottom,iron
Kaisa,bottom,iron
Sivir,bottom,iron
Sivir,bottom,iron
Sivir,bottom,iron
Sivir,bottom,iron
Sivir,bottom,iron
Sivir,bottom,iron
Ezreal,bottom,iron
Yasuo,bottom,iron
Jinx,bottom,iron
Renekton,top,iron
Riven,top,iron
Darius,top,iron
Leblanc,bottom,iron
Sion,utility,iron
Ashe,bottom,iron
Shyvana,jungle,iron
Senna,utility,iron
Alistar,utility,iron
Ekko,jungle,iron
Ekko,jungle,iron
Orianna,utility,iron
Poppy,top,iron
Poppy,top,iron
Poppy,top,iron
Poppy,top,iron
Poppy,top,iron
Jhin,bottom,iron
Ezreal,bottom,iron
Chogath,top,iron
Yone,top,iron
Garen,top,iron
Aatrox,top,iron
Aatrox,top,iron
TahmKench,utility,iron
Cassiopeia,middle,iron
Orianna,middle,iron
Orianna,middle,iron
Galio,middle,iron
Blitzcrank,utility,iron
Blitzcrank,utility,iron
Lux,utility,iron
Seraphine,utility,iron
Sejuani,utility,iron
Tryndamere,top,iron
Shaco,jungle,iron
Shaco,jungle,iron
Shen,top,iron
Shen,top,iron
Shen,top,iron
Shen,top,iron
MasterYi,jungle,iron
Lillia,jungle,iron
Pyke,utility,iron
Viego,jungle,iron
Belveth,jungle,iron
Morgana,utility,iron
Brand,utility,iron
Brand,utility,iron
Morgana,utility,iron
Evelynn,jungle,iron
LeeSin,jungle,iron
Yasuo,middle,iron
Hecarim,jungle,iron
Khazix,jungle,iron
Hecarim,jungle,iron
Yasuo,middle,iron
Kayn,jungle,iron
Khazix,jungle,iron
Warwick,jungle,iron
Katarina,middle,iron
Yasuo,top,iron
