win,kills,deaths,dmgObj,dmgTurr,vision_score,totalDmg,totalDmgTaken,totalMinions,gold,position,time,rank
True,3.0,2.0,6298.0,6298.0,10.0,148123.0,24127.0,197.0,11108.0,middle,29.15,iron
False,7.0,5.0,3222.0,424.0,15.0,116804.0,24526.0,144.0,12407.0,middle,29.916666666666668,iron
True,16.0,1.0,12446.0,2012.0,13.0,110153.0,12996.0,145.0,13989.0,middle,28.433333333333334,iron
True,13.0,2.0,10605.0,4966.0,9.0,148142.0,26504.0,192.0,14154.0,middle,26.516666666666666,iron
True,1.0,2.0,1430.0,1075.0,25.0,14254.0,10728.0,19.0,7288.0,utility,25.1,iron
False,3.0,4.0,979.0,0.0,6.0,13054.0,11935.0,10.0,4745.0,utility,19.05,iron
False,4.0,4.0,7325.0,2230.0,14.0,16828.0,15152.0,14.0,7417.0,utility,27.916666666666668,iron
True,0.0,9.0,1285.0,623.0,31.0,17007.0,21547.0,17.0,6979.0,utility,30.966666666666665,iron
True,2.0,5.0,4251.0,1984.0,15.0,19869.0,13035.0,18.0,6692.0,utility,25.0,iron
False,0.0,10.0,217.0,217.0,24.0,26752.0,20489.0,34.0,6506.0,utility,27.73333333333333,iron
False,2.0,2.0,0.0,0.0,6.0,3617.0,4771.0,3.0,2641.0,utility,12.55,iron
False,8.0,11.0,24661.0,2421.0,15.0,213803.0,36098.0,54.0,13404.0,jungle,30.466666666666665,iron
True,2.0,3.0,44084.0,248.0,19.0,138388.0,28328.0,6.0,8553.0,jungle,25.1,iron
False,2.0,8.0,675.0,151.0,20.0,32580.0,17994.0,24.0,6641.0,utility,29.466666666666665,iron
True,7.0,3.0,5941.0,3742.0,33.0,101014.0,30814.0,130.0,12035.0,middle,37.36666666666667,iron
True,1.0,2.0,10214.0,1525.0,14.0,62075.0,14039.0,89.0,6084.0,middle,20.366666666666667,iron
False,5.0,7.0,3165.0,693.0,26.0,71575.0,26703.0,93.0,10318.0,middle,29.55,iron
False,6.0,10.0,529.0,0.0,12.0,77630.0,20863.0,95.0,9120.0,middle,27.78333333333333,iron
False,5.0,4.0,935.0,0.0,17.0,77601.0,21426.0,108.0,8412.0,middle,25.616666666666667,iron
False,0.0,8.0,16101.0,0.0,33.0,89288.0,29971.0,23.0,6936.0,jungle,27.78333333333333,iron
True,2.0,4.0,22121.0,206.0,21.0,103413.0,18856.0,20.0,7725.0,jungle,21.23333333333333,iron
True,9.0,8.0,10367.0,1155.0,41.0,101781.0,30606.0,121.0,12383.0,middle,33.8,iron
True,0.0,0.0,0.0,0.0,0.0,1426.0,518.0,0.0,503.0,jungle,1.85,iron
True,11.0,10.0,56441.0,5390.0,22.0,182479.0,37589.0,43.0,14225.0,jungle,30.05,iron
False,5.0,11.0,30803.0,877.0,31.0,162484.0,42933.0,24.0,11198.0,jungle,35.03333333333333,iron
