"win","kills","deaths","dmgObj","dmgTurr","vision_score","totalDmg","totalDmgTaken","totalMinions","gold","position","time","rank"
"True",3,2,6298,6298,10,148123,24127,197,11108,"middle",29.15,"iron"
"False",7,5,3222,424,15,116804,24526,144,12407,"middle",29.9166666666667,"iron"
"True",16,1,12446,2012,13,110153,12996,145,13989,"middle",28.4333333333333,"iron"
"True",13,2,10605,4966,9,148142,26504,192,14154,"middle",26.5166666666667,"iron"
"True",1,2,1430,1075,25,14254,10728,19,7288,"utility",25.1,"iron"
"False",3,4,979,0,6,13054,11935,10,4745,"utility",19.05,"iron"
"False",4,4,7325,2230,14,16828,15152,14,7417,"utility",27.9166666666667,"iron"
"True",0,9,1285,623,31,17007,21547,17,6979,"utility",30.9666666666667,"iron"
"True",2,5,4251,1984,15,19869,13035,18,6692,"utility",25,"iron"
"False",0,10,217,217,24,26752,20489,34,6506,"utility",27.7333333333333,"iron"
"False",2,2,0,0,6,3617,4771,3,2641,"utility",12.55,"iron"
"False",8,11,24661,2421,15,213803,36098,54,13404,"jungle",30.4666666666667,"iron"
"True",2,3,44084,248,19,138388,28328,6,8553,"jungle",25.1,"iron"
"False",2,8,675,151,20,32580,17994,24,6641,"utility",29.4666666666667,"iron"
"True",7,3,5941,3742,33,101014,30814,130,12035,"middle",37.3666666666667,"iron"
"True",1,2,10214,1525,14,62075,14039,89,6084,"middle",20.3666666666667,"iron"
"False",5,7,3165,693,26,71575,26703,93,10318,"middle",29.55,"iron"
"False",6,10,529,0,12,77630,20863,95,9120,"middle",27.7833333333333,"iron"
"False",5,4,935,0,17,77601,21426,108,8412,"middle",25.6166666666667,"iron"
"False",0,8,16101,0,33,89288,29971,23,6936,"jungle",27.7833333333333,"iron"
"True",2,4,22121,206,21,103413,18856,20,7725,"jungle",21.2333333333333,"iron"
"True",9,8,10367,1155,41,101781,30606,121,12383,"middle",33.8,"iron"
"True",0,0,0,0,0,1426,518,0,503,"jungle",1.85,"iron"
"True",11,10,56441,5390,22,182479,37589,43,14225,"jungle",30.05,"iron"
"False",5,11,30803,877,31,162484,42933,24,11198,"jungle",35.0333333333333,"iron"
"True",23,8,40797,9006,23,177080,26678,128,19426,"bottom",35.6666666666667,"iron"
"True",5,4,5417,442,24,34930,14828,21,7970,"utility",22.6333333333333,"iron"
"False",5,4,1985,122,15,95632,16358,129,9927,"bottom",30.6,"iron"
"False",5,4,24,24,17,54949,11391,106,7587,"bottom",19.9,"iron"
"False",1,2,2699,2699,6,57320,5718,114,5859,"bottom",19.5666666666667,"iron"
"False",1,1,0,0,1,5009,1405,14,1498,"bottom",4.55,"iron"
"False",4,8,0,0,16,75575,19593,111,8635,"bottom",28.8166666666667,"iron"
"False",2,5,12669,2032,13,83757,14156,100,6690,"utility",25.3333333333333,"iron"
"False",0,3,0,0,0,3722,2432,0,3072,"jungle",22.2166666666667,"iron"
"True",7,7,17878,605,26,201701,30139,18,12821,"jungle",34.7333333333333,"iron"
"False",3,7,6671,0,14,97871,22431,27,8644,"jungle",24.15,"iron"
"False",5,2,116,0,13,11712,5612,7,5698,"jungle",16.5333333333333,"iron"
"False",5,8,2608,1617,32,49440,15095,80,7990,"bottom",26.65,"iron"
"True",13,7,3860,1500,57,51608,24446,51,13418,"utility",33.5,"iron"
"False",1,6,3296,3296,5,65816,27335,125,7725,"top",23.6333333333333,"iron"
"True",4,3,16840,2841,7,109003,15711,41,7975,"jungle",20.2,"iron"
"False",0,8,3041,3041,6,138879,45088,210,10147,"top",31.6166666666667,"iron"
"False",5,8,8379,7142,4,222307,67491,267,16760,"top",42.7166666666667,"iron"
"False",5,8,8420,4121,6,187071,39775,217,13895,"top",36.3833333333333,"iron"
"False",8,9,18019,0,8,143042,26728,28,10307,"jungle",26.8833333333333,"iron"
"True",9,11,11923,6539,10,212451,52534,239,15648,"top",35.9,"iron"
"False",3,9,5404,788,4,140343,29870,168,9917,"top",26.3333333333333,"iron"
"False",2,9,8294,8294,13,204660,58536,226,13370,"top",38.9666666666667,"iron"
"True",3,5,4618,1229,47,31820,14081,37,8134,"utility",22.5666666666667,"iron"
"True",6,9,9240,2722,115,72012,28374,62,11655,"utility",40.6666666666667,"iron"
"False",2,11,617,617,52,48223,23178,29,8353,"utility",31.8166666666667,"iron"
"False",8,15,2076,232,96,40927,31854,39,11233,"utility",35.5833333333333,"iron"
"False",3,11,1747,507,57,36865,26121,32,8871,"utility",32.35,"iron"
"False",8,12,6575,2148,4,90824,30436,95,9911,"middle",25.5833333333333,"iron"
"False",0,10,1107,1107,16,8079,18140,12,5813,"utility",28.4833333333333,"iron"
"False",1,11,4006,1558,20,111116,23491,149,9013,"middle",33.1333333333333,"iron"
"True",0,0,0,0,0,847,430,1,535,"middle",1.86666666666667,"iron"
"True",14,7,16436,5614,30,195774,29492,176,16200,"middle",33.6166666666667,"iron"
"False",5,13,15131,8532,19,195134,22066,171,12966,"bottom",31.25,"iron"
"True",0,0,175,175,0,3651,399,10,885,"middle",2.93333333333333,"iron"
"True",10,1,3482,3191,13,88648,9490,109,8464,"middle",16.65,"iron"
"True",1,13,9670,7033,21,199216,27853,171,13406,"middle",36.05,"iron"
"False",1,4,0,0,1,50019,9509,88,5295,"middle",20.7666666666667,"iron"
"False",1,7,21486,2083,10,125492,17734,14,7544,"jungle",19.4166666666667,"iron"
"True",2,2,2761,2761,4,40297,6592,66,5519,"bottom",15.6166666666667,"iron"
"True",2,6,5314,5314,14,92442,16073,127,10048,"bottom",30.3333333333333,"iron"
"False",14,13,5883,544,42,91779,23786,68,13730,"utility",29.9333333333333,"iron"
"True",7,1,14933,4916,15,120858,21186,154,11194,"bottom",29.15,"iron"
"True",5,6,18819,4571,18,122369,27011,122,12174,"bottom",34.3833333333333,"iron"
"False",8,11,2351,1536,29,56676,21848,48,11512,"utility",32.8833333333333,"iron"
"False",1,5,0,0,10,29187,7936,34,5896,"bottom",31.0666666666667,"iron"
"False",0,5,61,0,12,76725,17700,119,7347,"bottom",31.3666666666667,"iron"
"False",9,9,2227,2227,23,105240,26155,133,12691,"bottom",35.7333333333333,"iron"
"True",9,23,2409,2409,8,111959,43900,82,14375,"middle",47.6833333333333,"iron"
"False",1,13,14428,0,11,167809,32621,9,8982,"jungle",29.0833333333333,"iron"
"False",2,5,1590,1590,20,65942,11547,97,6416,"bottom",22.4333333333333,"iron"
"True",8,8,6759,1188,40,61268,22318,66,9904,"bottom",29.6333333333333,"iron"
"False",3,6,19110,2919,44,200367,31740,60,11462,"jungle",33.6333333333333,"iron"
"False",4,8,1848,1659,22,109878,18393,131,10383,"bottom",30.95,"iron"
"False",2,3,1588,935,10,29313,8799,63,5246,"bottom",18.0166666666667,"iron"
"False",3,8,1717,1258,27,61899,15220,69,8009,"bottom",23.0166666666667,"iron"
"False",7,8,2419,260,20,90275,20154,113,10466,"bottom",26.5666666666667,"iron"
"True",5,7,2885,954,66,79057,28126,75,11293,"utility",33.1,"iron"
"False",12,7,21517,10638,1,165916,23041,176,15856,"bottom",33.3666666666667,"iron"
"True",15,1,5089,3832,7,136164,12827,144,12722,"top",24.6333333333333,"iron"
"False",5,9,11977,4460,20,177072,27621,204,13909,"bottom",39.95,"iron"
"True",13,7,7062,1716,17,266181,26118,240,17985,"bottom",39.9833333333333,"iron"
"False",2,9,387,0,13,117877,19377,147,8317,"bottom",29.3666666666667,"iron"
"True",5,2,7639,3118,12,56371,5780,108,7145,"bottom",15.95,"iron"
"False",3,16,2695,82,18,201160,65916,198,14122,"middle",58.0666666666667,"iron"
"False",0,4,2883,0,3,62644,12104,8,4252,"jungle",15.2666666666667,"iron"
"False",1,8,6051,718,5,105626,20634,118,7543,"bottom",28.5833333333333,"iron"
"False",13,6,2849,2447,14,198476,28806,228,15516,"bottom",35.2,"iron"
"False",3,9,3221,0,20,106579,29443,10,8489,"jungle",29.3666666666667,"iron"
"True",9,5,14116,0,39,187395,32893,22,13405,"jungle",35.1,"iron"
"True",6,3,25750,3132,24,215173,32538,32,14216,"jungle",34.4833333333333,"iron"
"False",4,8,26918,489,29,186966,42973,20,13237,"jungle",38.4333333333333,"iron"
